geneModel	change	counterfactual_fate	current_fate
Vvinifera:chr00:1852462-1981486-rc	removed	retained	grid_absent
Vvinifera:chr00:1876627-1938067	removed	retained	grid_absent
Vvinifera:chr00:1877318-1938758	added	grid_absent	retained
Vvinifera:chr00:1888690-2017714	added	grid_absent	retained
Vvinifera:chr00:1888690-2017714-rc	added	grid_absent	retained
Vvinifera:chr00:1938067-1999507	removed	retained	grid_absent
Vvinifera:chr00:1938067-1999507-rc	removed	retained	grid_absent
Vvinifera:chr00:1938758-2000198	added	grid_absent	retained
Vvinifera:chr00:1938758-2000198-rc	added	grid_absent	retained
Vvinifera:chr00:1981486-2110510	removed	retained	grid_absent
Vvinifera:chr00:1999507-2060947	removed	retained	grid_absent
Vvinifera:chr00:2000198-2061638	added	grid_absent	retained
Vvinifera:chr00:2017714-2146738	added	grid_absent	retained
Vvinifera:chr00:2060947-2122387	removed	retained	grid_absent
Vvinifera:chr00:2061638-2123078	added	grid_absent	retained
Vvinifera:chr00:2110510-2239534	removed	retained	grid_absent
Vvinifera:chr00:211378-340402	added	grid_absent	retained
Vvinifera:chr00:211378-340402-rc	added	grid_absent	retained
Vvinifera:chr00:2122387-2183827	removed	retained	grid_absent
Vvinifera:chr00:2123078-2184518	added	grid_absent	retained
Vvinifera:chr00:2146738-2275762	added	grid_absent	retained
Vvinifera:chr00:217747-279187	removed	retained	grid_absent
Vvinifera:chr00:217747-279187-rc	removed	retained	grid_absent
Vvinifera:chr00:2183827-2245267	removed	retained	grid_absent
Vvinifera:chr00:218438-279878	added	grid_absent	retained
Vvinifera:chr00:218438-279878-rc	added	grid_absent	retained
Vvinifera:chr00:2184518-2245958	added	grid_absent	retained
Vvinifera:chr00:2239534-2368558	removed	retained	grid_absent
Vvinifera:chr00:2245267-2306707	removed	retained	grid_absent
Vvinifera:chr00:2245958-2307398	added	grid_absent	retained
Vvinifera:chr00:2275762-2404786	added	grid_absent	retained
Vvinifera:chr00:2306707-2368147	removed	retained	grid_absent
Vvinifera:chr00:2307398-2368838	added	grid_absent	retained
Vvinifera:chr00:2368147-2429587	removed	retained	grid_absent
Vvinifera:chr00:2368558-2497582	removed	retained	grid_absent
Vvinifera:chr00:2368838-2430278	added	grid_absent	retained
Vvinifera:chr00:2404786-2533810	added	grid_absent	retained
Vvinifera:chr00:2429587-2491027	removed	retained	grid_absent
Vvinifera:chr00:2430278-2491718	added	grid_absent	retained
Vvinifera:chr00:2491027-2552467	removed	retained	grid_absent
Vvinifera:chr00:2491718-2553158	added	grid_absent	retained
Vvinifera:chr00:2497582-2626606	removed	retained	grid_absent
Vvinifera:chr00:2533810-2662834	added	grid_absent	retained
Vvinifera:chr00:2552467-2613907	removed	retained	grid_absent
Vvinifera:chr00:2553158-2614598	added	grid_absent	retained
Vvinifera:chr00:2613907-2675347	removed	retained	grid_absent
Vvinifera:chr00:2614598-2676038	added	grid_absent	retained
Vvinifera:chr00:2626606-2755630	removed	retained	grid_absent
Vvinifera:chr00:2626606-2755630-rc	removed	retained	grid_absent
Vvinifera:chr00:2662834-2791858	added	grid_absent	retained
Vvinifera:chr00:2662834-2791858-rc	added	grid_absent	retained
Vvinifera:chr00:2675347-2736787	removed	retained	grid_absent
Vvinifera:chr00:2675347-2736787-rc	removed	retained	grid_absent
Vvinifera:chr00:2676038-2737478	added	grid_absent	retained
Vvinifera:chr00:2676038-2737478-rc	added	grid_absent	retained
Vvinifera:chr00:2736787-2798227	removed	retained	grid_absent
Vvinifera:chr00:2736787-2798227-rc	removed	retained	grid_absent
Vvinifera:chr00:2737478-2798918	added	grid_absent	retained
Vvinifera:chr00:2737478-2798918-rc	added	grid_absent	retained
Vvinifera:chr00:2755630-2884654	removed	retained	grid_absent
Vvinifera:chr00:2791858-2920882	added	grid_absent	retained
Vvinifera:chr00:279187-340627	removed	retained	grid_absent
Vvinifera:chr00:2798227-2859667	removed	retained	grid_absent
Vvinifera:chr00:279878-341318	added	grid_absent	retained
Vvinifera:chr00:2798918-2860358	added	grid_absent	retained
Vvinifera:chr00:2859667-2921107	removed	retained	grid_absent
Vvinifera:chr00:2860358-2921798	added	grid_absent	retained
Vvinifera:chr00:2884654-3013678	removed	retained	grid_absent
Vvinifera:chr00:2920882-3049906	added	grid_absent	retained
Vvinifera:chr00:2921107-2982547	removed	retained	grid_absent
Vvinifera:chr00:2921798-2983238	added	grid_absent	retained
Vvinifera:chr00:2982547-3043987	removed	retained	grid_absent
Vvinifera:chr00:2983238-3044678	added	grid_absent	retained
Vvinifera:chr00:3013678-3142702	removed	retained	grid_absent
Vvinifera:chr00:3013678-3142702-rc	removed	retained	grid_absent
Vvinifera:chr00:304174-433198	removed	retained	grid_absent
Vvinifera:chr00:3043987-3105427	removed	retained	grid_absent
Vvinifera:chr00:3043987-3105427-rc	removed	retained	grid_absent
Vvinifera:chr00:3044678-3106118	added	grid_absent	retained
Vvinifera:chr00:3044678-3106118-rc	added	grid_absent	retained
Vvinifera:chr00:3049906-3178930	added	grid_absent	retained
Vvinifera:chr00:3049906-3178930-rc	added	grid_absent	retained
Vvinifera:chr00:3105427-3166867	removed	retained	grid_absent
Vvinifera:chr00:3106118-3167558	added	grid_absent	retained
Vvinifera:chr00:3106118-3167558-rc	added	grid_absent	retained
Vvinifera:chr00:3142702-3271726	removed	retained	grid_absent
Vvinifera:chr00:3142702-3271726-rc	removed	retained	grid_absent
Vvinifera:chr00:3166867-3228307	removed	retained	grid_absent
Vvinifera:chr00:3167558-3228998	added	grid_absent	retained
Vvinifera:chr00:3178930-3307954	added	grid_absent	retained
Vvinifera:chr00:3228307-3289747	removed	retained	grid_absent
Vvinifera:chr00:3228998-3290438	added	grid_absent	retained
Vvinifera:chr00:3271726-3400750	removed	retained	grid_absent
Vvinifera:chr00:3271726-3400750-rc	removed	retained	grid_absent
Vvinifera:chr00:3289747-3351187	removed	retained	grid_absent
Vvinifera:chr00:3289747-3351187-rc	removed	retained	grid_absent
Vvinifera:chr00:3290438-3351878	added	grid_absent	retained
Vvinifera:chr00:3290438-3351878-rc	added	grid_absent	retained
Vvinifera:chr00:3307954-3436978	added	grid_absent	retained
Vvinifera:chr00:3307954-3436978-rc	added	grid_absent	retained
Vvinifera:chr00:33427-94867	removed	retained	grid_absent
Vvinifera:chr00:3351187-3412627	removed	retained	grid_absent
Vvinifera:chr00:3351187-3412627-rc	removed	retained	grid_absent
Vvinifera:chr00:3351878-3413318	added	grid_absent	retained
Vvinifera:chr00:3351878-3413318-rc	added	grid_absent	retained
Vvinifera:chr00:3400750-3529774	removed	retained	grid_absent
Vvinifera:chr00:340402-469426	added	grid_absent	retained
Vvinifera:chr00:340627-402067	removed	retained	grid_absent
Vvinifera:chr00:34118-95558	added	grid_absent	retained
Vvinifera:chr00:3412627-3474067	removed	retained	grid_absent
Vvinifera:chr00:341318-402758	added	grid_absent	retained
Vvinifera:chr00:3413318-3474758	added	grid_absent	retained
Vvinifera:chr00:3436978-3566002	added	grid_absent	retained
Vvinifera:chr00:3474067-3535507	removed	retained	grid_absent
Vvinifera:chr00:3474758-3536198	added	grid_absent	retained
Vvinifera:chr00:3529774-3658798	removed	retained	grid_absent
Vvinifera:chr00:3535507-3596947	removed	retained	grid_absent
Vvinifera:chr00:3536198-3597638	added	grid_absent	retained
Vvinifera:chr00:3566002-3695026	added	grid_absent	retained
Vvinifera:chr00:3596947-3658387	removed	retained	grid_absent
Vvinifera:chr00:3597638-3659078	added	grid_absent	retained
Vvinifera:chr00:3658387-3719827	removed	retained	grid_absent
Vvinifera:chr00:3658798-3787822	removed	retained	grid_absent
Vvinifera:chr00:3659078-3720518	added	grid_absent	retained
Vvinifera:chr00:3688115-3718835	changed	retained	retained
Vvinifera:chr00:3695026-3824050	added	grid_absent	retained
Vvinifera:chr00:3719827-3781267	removed	retained	grid_absent
Vvinifera:chr00:3720518-3781958	added	grid_absent	retained
Vvinifera:chr00:3781267-3842707	removed	retained	grid_absent
Vvinifera:chr00:3781958-3843398	added	grid_absent	retained
Vvinifera:chr00:3787822-3916846	removed	retained	grid_absent
Vvinifera:chr00:3824050-3953074	added	grid_absent	retained
Vvinifera:chr00:3842707-3904147	removed	retained	grid_absent
Vvinifera:chr00:3843398-3904838	added	grid_absent	retained
Vvinifera:chr00:3904147-3965587	removed	retained	grid_absent
Vvinifera:chr00:3904838-3966278	added	grid_absent	retained
Vvinifera:chr00:3916846-4045870	removed	retained	grid_absent
Vvinifera:chr00:3953074-4082098	added	grid_absent	retained
Vvinifera:chr00:3965587-4027027	removed	retained	grid_absent
Vvinifera:chr00:3966278-4027718	added	grid_absent	retained
Vvinifera:chr00:402067-463507	removed	retained	grid_absent
Vvinifera:chr00:4027027-4088467	removed	retained	grid_absent
Vvinifera:chr00:402758-464198	added	grid_absent	retained
Vvinifera:chr00:4027718-4089158	added	grid_absent	retained
Vvinifera:chr00:4045870-4174894	removed	retained	grid_absent
Vvinifera:chr00:4082098-4211122	added	grid_absent	retained
Vvinifera:chr00:4088467-4149907	removed	retained	grid_absent
Vvinifera:chr00:4089158-4150598	added	grid_absent	retained
Vvinifera:chr00:4149907-4211347	removed	retained	grid_absent
Vvinifera:chr00:4150598-4212038	added	grid_absent	retained
Vvinifera:chr00:4174894-4303918	removed	retained	grid_absent
Vvinifera:chr00:4174894-4303918-rc	removed	retained	grid_absent
Vvinifera:chr00:4211122-4340146	added	grid_absent	retained
Vvinifera:chr00:4211122-4340146-rc	added	grid_absent	retained
Vvinifera:chr00:4211347-4272787	removed	retained	grid_absent
Vvinifera:chr00:4211347-4272787-rc	removed	retained	grid_absent
Vvinifera:chr00:4212038-4273478	added	grid_absent	retained
Vvinifera:chr00:4212038-4273478-rc	added	grid_absent	retained
Vvinifera:chr00:4272787-4334227	removed	retained	grid_absent
Vvinifera:chr00:4273478-4334918	added	grid_absent	retained
Vvinifera:chr00:4303918-4432942	removed	retained	grid_absent
Vvinifera:chr00:433198-562222	removed	retained	grid_absent
Vvinifera:chr00:433198-562222-rc	removed	retained	grid_absent
Vvinifera:chr00:4334227-4395667	removed	retained	grid_absent
Vvinifera:chr00:4334227-4395667-rc	removed	retained	grid_absent
Vvinifera:chr00:4334918-4396358	added	grid_absent	retained
Vvinifera:chr00:4334918-4396358-rc	added	grid_absent	retained
Vvinifera:chr00:4340146-4469170	added	grid_absent	retained
Vvinifera:chr00:4340146-4469170-rc	added	grid_absent	retained
Vvinifera:chr00:4395667-4457107	removed	retained	grid_absent
Vvinifera:chr00:4396358-4457798	added	grid_absent	retained
Vvinifera:chr00:4432942-4561966	removed	retained	grid_absent
Vvinifera:chr00:4457107-4518547	removed	retained	grid_absent
Vvinifera:chr00:4457798-4519238	added	grid_absent	retained
Vvinifera:chr00:4469170-4598194	added	grid_absent	retained
Vvinifera:chr00:4518547-4579987	removed	retained	grid_absent
Vvinifera:chr00:4519238-4580678	added	grid_absent	retained
Vvinifera:chr00:4561966-4690990	removed	retained	grid_absent
Vvinifera:chr00:4579987-4641427	removed	retained	grid_absent
Vvinifera:chr00:4580678-4642118	added	grid_absent	retained
Vvinifera:chr00:4598194-4727218	added	grid_absent	retained
Vvinifera:chr00:46126-175150	removed	retained	grid_absent
Vvinifera:chr00:463507-524947	removed	retained	grid_absent
Vvinifera:chr00:463507-524947-rc	removed	retained	grid_absent
Vvinifera:chr00:4641427-4702867	removed	retained	grid_absent
Vvinifera:chr00:464198-525638	added	grid_absent	retained
Vvinifera:chr00:464198-525638-rc	added	grid_absent	retained
Vvinifera:chr00:4690990-4820014	removed	retained	grid_absent
Vvinifera:chr00:4690990-4820014-rc	removed	retained	grid_absent
Vvinifera:chr00:469426-598450	added	grid_absent	retained
Vvinifera:chr00:469426-598450-rc	added	grid_absent	retained
Vvinifera:chr00:4702867-4764307	removed	retained	grid_absent
Vvinifera:chr00:4703558-4764998	added	grid_absent	retained
Vvinifera:chr00:4727218-4856242	added	grid_absent	retained
Vvinifera:chr00:4727218-4856242-rc	added	grid_absent	retained
Vvinifera:chr00:4763315-4794035	changed	retained	retained
Vvinifera:chr00:4763315-4794035-rc	changed	retained	retained
Vvinifera:chr00:4764307-4825747	removed	retained	grid_absent
Vvinifera:chr00:4764307-4825747-rc	removed	retained	grid_absent
Vvinifera:chr00:4764998-4826438	added	grid_absent	retained
Vvinifera:chr00:4764998-4826438-rc	added	grid_absent	retained
Vvinifera:chr00:4820014-4949038	removed	retained	grid_absent
Vvinifera:chr00:4825747-4887187	removed	retained	grid_absent
Vvinifera:chr00:4826438-4887878	added	grid_absent	retained
Vvinifera:chr00:4856242-4985266	added	grid_absent	retained
Vvinifera:chr00:4887187-4948627	removed	retained	grid_absent
Vvinifera:chr00:4887878-4949318	added	grid_absent	retained
Vvinifera:chr00:4948627-5010067	removed	retained	grid_absent
Vvinifera:chr00:4949038-5078062	removed	retained	grid_absent
Vvinifera:chr00:4949318-5010758	added	grid_absent	retained
Vvinifera:chr00:4985266-5114290	added	grid_absent	retained
Vvinifera:chr00:5010067-5071507	removed	retained	grid_absent
Vvinifera:chr00:5010758-5072198	added	grid_absent	retained
Vvinifera:chr00:5071507-5132947	removed	retained	grid_absent
Vvinifera:chr00:5072198-5133638	added	grid_absent	retained
Vvinifera:chr00:5078062-5207086	removed	retained	grid_absent
Vvinifera:chr00:5114290-5243314	added	grid_absent	retained
Vvinifera:chr00:5132947-5194387	removed	retained	grid_absent
Vvinifera:chr00:5133638-5195078	added	grid_absent	retained
Vvinifera:chr00:5194387-5255827	removed	retained	grid_absent
Vvinifera:chr00:5195078-5256518	added	grid_absent	retained
Vvinifera:chr00:5207086-5336110	removed	retained	grid_absent
Vvinifera:chr00:5243314-5372338	added	grid_absent	retained
Vvinifera:chr00:524947-586387	removed	retained	grid_absent
Vvinifera:chr00:5255827-5317267	removed	retained	grid_absent
Vvinifera:chr00:525638-587078	added	grid_absent	retained
Vvinifera:chr00:5256518-5317958	added	grid_absent	retained
Vvinifera:chr00:5317267-5378707	removed	retained	grid_absent
Vvinifera:chr00:5317958-5379398	added	grid_absent	retained
Vvinifera:chr00:5336110-5465134	removed	retained	grid_absent
Vvinifera:chr00:5372338-5501362	added	grid_absent	retained
Vvinifera:chr00:5378707-5440147	removed	retained	grid_absent
Vvinifera:chr00:5379398-5440838	added	grid_absent	retained
Vvinifera:chr00:5408435-5439155	changed	retained	retained
Vvinifera:chr00:5440147-5501587	removed	retained	grid_absent
Vvinifera:chr00:5440838-5502278	added	grid_absent	retained
Vvinifera:chr00:5465134-5594158	removed	retained	grid_absent
Vvinifera:chr00:5501362-5630386	added	grid_absent	retained
Vvinifera:chr00:5501587-5563027	removed	retained	grid_absent
Vvinifera:chr00:5502278-5563718	added	grid_absent	retained
Vvinifera:chr00:5563027-5624467	removed	retained	grid_absent
Vvinifera:chr00:5563718-5625158	added	grid_absent	retained
Vvinifera:chr00:5594158-5723182	removed	retained	grid_absent
Vvinifera:chr00:562222-691246	removed	retained	grid_absent
Vvinifera:chr00:5624467-5685907	removed	retained	grid_absent
Vvinifera:chr00:5625158-5686598	added	grid_absent	retained
Vvinifera:chr00:5630386-5759410	added	grid_absent	retained
Vvinifera:chr00:5685907-5747347	removed	retained	grid_absent
Vvinifera:chr00:5686598-5748038	added	grid_absent	retained
Vvinifera:chr00:5723182-5852206	removed	retained	grid_absent
Vvinifera:chr00:5747347-5808787	removed	retained	grid_absent
Vvinifera:chr00:5748038-5809478	added	grid_absent	retained
Vvinifera:chr00:5759410-5888434	added	grid_absent	retained
Vvinifera:chr00:5808787-5870227	removed	retained	grid_absent
Vvinifera:chr00:5809478-5870918	added	grid_absent	retained
Vvinifera:chr00:5852206-5981230	removed	retained	grid_absent
Vvinifera:chr00:586387-647827	removed	retained	grid_absent
Vvinifera:chr00:5870227-5931667	removed	retained	grid_absent
Vvinifera:chr00:587078-648518	added	grid_absent	retained
Vvinifera:chr00:5870918-5932358	added	grid_absent	retained
Vvinifera:chr00:5888434-6017458	added	grid_absent	retained
Vvinifera:chr00:5931667-5993107	removed	retained	grid_absent
Vvinifera:chr00:5932358-5993798	added	grid_absent	retained
Vvinifera:chr00:5981230-6110254	removed	retained	grid_absent
Vvinifera:chr00:598450-727474	added	grid_absent	retained
Vvinifera:chr00:5993107-6054547	removed	retained	grid_absent
Vvinifera:chr00:5993798-6055238	added	grid_absent	retained
Vvinifera:chr00:6017458-6146482	added	grid_absent	retained
Vvinifera:chr00:6017458-6146482-rc	added	grid_absent	retained
Vvinifera:chr00:6054547-6115987	removed	retained	grid_absent
Vvinifera:chr00:6055238-6116678	added	grid_absent	retained
Vvinifera:chr00:6110254-6239278	removed	retained	grid_absent
Vvinifera:chr00:6110254-6239278-rc	removed	retained	grid_absent
Vvinifera:chr00:6115987-6177427	removed	retained	grid_absent
Vvinifera:chr00:6115987-6177427-rc	removed	retained	grid_absent
Vvinifera:chr00:6116678-6178118	added	grid_absent	retained
Vvinifera:chr00:6116678-6178118-rc	added	grid_absent	retained
Vvinifera:chr00:6146482-6275506	added	grid_absent	retained
Vvinifera:chr00:6177427-6238867	removed	retained	grid_absent
Vvinifera:chr00:6178118-6239558	added	grid_absent	retained
Vvinifera:chr00:6238867-6300307	removed	retained	grid_absent
Vvinifera:chr00:6239278-6368302	removed	retained	grid_absent
Vvinifera:chr00:6239558-6300998	added	grid_absent	retained
Vvinifera:chr00:6275506-6404530	added	grid_absent	retained
Vvinifera:chr00:6300307-6361747	removed	retained	grid_absent
Vvinifera:chr00:6300998-6362438	added	grid_absent	retained
Vvinifera:chr00:6361747-6423187	removed	retained	grid_absent
Vvinifera:chr00:6362438-6423878	added	grid_absent	retained
Vvinifera:chr00:6368302-6497326	removed	retained	grid_absent
Vvinifera:chr00:6404530-6533554	added	grid_absent	retained
Vvinifera:chr00:6423187-6484627	removed	retained	grid_absent
Vvinifera:chr00:6423878-6485318	added	grid_absent	retained
Vvinifera:chr00:647827-709267	removed	retained	grid_absent
Vvinifera:chr00:6484627-6546067	removed	retained	grid_absent
Vvinifera:chr00:648518-709958	added	grid_absent	retained
Vvinifera:chr00:6485318-6546758	added	grid_absent	retained
Vvinifera:chr00:6497326-6626350	removed	retained	grid_absent
Vvinifera:chr00:6533554-6662578	added	grid_absent	retained
Vvinifera:chr00:6546067-6607507	removed	retained	grid_absent
Vvinifera:chr00:6546758-6608198	added	grid_absent	retained
Vvinifera:chr00:6607507-6668947	removed	retained	grid_absent
Vvinifera:chr00:6607507-6668947-rc	removed	retained	grid_absent
Vvinifera:chr00:6608198-6669638	added	grid_absent	retained
Vvinifera:chr00:6608198-6669638-rc	added	grid_absent	retained
Vvinifera:chr00:6626350-6755374	removed	retained	grid_absent
Vvinifera:chr00:6626350-6755374-rc	removed	retained	grid_absent
Vvinifera:chr00:6662578-6791602	added	grid_absent	retained
Vvinifera:chr00:6668947-6730387	removed	retained	grid_absent
Vvinifera:chr00:6669638-6731078	added	grid_absent	retained
Vvinifera:chr00:6730387-6791827	removed	retained	grid_absent
Vvinifera:chr00:6731078-6792518	added	grid_absent	retained
Vvinifera:chr00:6755374-6884398	removed	retained	grid_absent
Vvinifera:chr00:6791602-6920626	added	grid_absent	retained
Vvinifera:chr00:6791827-6853267	removed	retained	grid_absent
Vvinifera:chr00:6792518-6853958	added	grid_absent	retained
Vvinifera:chr00:6853267-6914707	removed	retained	grid_absent
Vvinifera:chr00:6853958-6915398	added	grid_absent	retained
Vvinifera:chr00:6884398-7013422	removed	retained	grid_absent
Vvinifera:chr00:691246-820270	removed	retained	grid_absent
Vvinifera:chr00:6914707-6976147	removed	retained	grid_absent
Vvinifera:chr00:6915398-6976838	added	grid_absent	retained
Vvinifera:chr00:6920626-7049650	added	grid_absent	retained
Vvinifera:chr00:6976147-7037587	removed	retained	grid_absent
Vvinifera:chr00:6976838-7038278	added	grid_absent	retained
Vvinifera:chr00:7013422-7142446	removed	retained	grid_absent
Vvinifera:chr00:709267-770707	removed	retained	grid_absent
Vvinifera:chr00:709958-771398	added	grid_absent	retained
Vvinifera:chr00:7099718-7161158	added	grid_absent	retained
Vvinifera:chr00:727474-856498	added	grid_absent	retained
Vvinifera:chr00:7529107-7590547	removed	retained	grid_absent
Vvinifera:chr00:7565746-7694770	added	grid_absent	retained
Vvinifera:chr00:7651987-7713427	removed	retained	grid_absent
Vvinifera:chr00:7652678-7714118	added	grid_absent	retained
Vvinifera:chr00:7658542-7787566	removed	retained	grid_absent
Vvinifera:chr00:7694770-7823794	added	grid_absent	retained
Vvinifera:chr00:770707-832147	removed	retained	grid_absent
Vvinifera:chr00:7713427-7774867	removed	retained	grid_absent
Vvinifera:chr00:771398-832838	added	grid_absent	retained
Vvinifera:chr00:7714118-7775558	added	grid_absent	retained
Vvinifera:chr00:7774867-7836307	removed	retained	grid_absent
Vvinifera:chr00:7775558-7836998	added	grid_absent	retained
Vvinifera:chr00:7787566-7916590	removed	retained	grid_absent
Vvinifera:chr00:7823794-7952818	added	grid_absent	retained
Vvinifera:chr00:7823794-7952818-rc	added	grid_absent	retained
Vvinifera:chr00:7836307-7897747	removed	retained	grid_absent
Vvinifera:chr00:7836998-7898438	added	grid_absent	retained
Vvinifera:chr00:7866035-7896755	changed	retained	retained
Vvinifera:chr00:7897747-7959187	removed	retained	grid_absent
Vvinifera:chr00:7897747-7959187-rc	removed	retained	grid_absent
Vvinifera:chr00:7898438-7959878	added	grid_absent	retained
Vvinifera:chr00:7898438-7959878-rc	added	grid_absent	retained
Vvinifera:chr00:7916590-8045614	removed	retained	grid_absent
Vvinifera:chr00:7916590-8045614-rc	removed	retained	grid_absent
Vvinifera:chr00:7952818-8081842	added	grid_absent	retained
Vvinifera:chr00:7952818-8081842-rc	added	grid_absent	retained
Vvinifera:chr00:7958195-7988915	changed	retained	retained
Vvinifera:chr00:7959187-8020627	removed	retained	grid_absent
Vvinifera:chr00:7959187-8020627-rc	removed	retained	grid_absent
Vvinifera:chr00:7959878-8021318	added	grid_absent	retained
Vvinifera:chr00:8020627-8082067	removed	retained	grid_absent
Vvinifera:chr00:8021318-8082758	added	grid_absent	retained
Vvinifera:chr00:8045614-8174638	removed	retained	grid_absent
Vvinifera:chr00:8081842-8210866	added	grid_absent	retained
Vvinifera:chr00:8081842-8210866-rc	added	grid_absent	retained
Vvinifera:chr00:8082067-8143507	removed	retained	grid_absent
Vvinifera:chr00:8082758-8144198	added	grid_absent	retained
Vvinifera:chr00:8143507-8204947	removed	retained	grid_absent
Vvinifera:chr00:8143507-8204947-rc	removed	retained	grid_absent
Vvinifera:chr00:8144198-8205638	added	grid_absent	retained
Vvinifera:chr00:8144198-8205638-rc	added	grid_absent	retained
Vvinifera:chr00:8174638-8303662	removed	retained	grid_absent
Vvinifera:chr00:8174638-8303662-rc	removed	retained	grid_absent
Vvinifera:chr00:820270-949294	removed	retained	grid_absent
Vvinifera:chr00:8203955-8234675	changed	retained	retained
Vvinifera:chr00:8204947-8266387	removed	retained	grid_absent
Vvinifera:chr00:8205638-8267078	added	grid_absent	retained
Vvinifera:chr00:8210866-8339890	added	grid_absent	retained
Vvinifera:chr00:8210866-8339890-rc	added	grid_absent	retained
Vvinifera:chr00:8234675-8265395	changed	retained	retained
Vvinifera:chr00:82354-211378	added	grid_absent	retained
Vvinifera:chr00:8266387-8327827	removed	retained	grid_absent
Vvinifera:chr00:8266387-8327827-rc	removed	retained	grid_absent
Vvinifera:chr00:8267078-8328518	added	grid_absent	retained
Vvinifera:chr00:8267078-8328518-rc	added	grid_absent	retained
Vvinifera:chr00:8296115-8326835	changed	retained	retained
Vvinifera:chr00:8296115-8326835-rc	changed	retained	retained
Vvinifera:chr00:8303662-8432686	removed	retained	grid_absent
Vvinifera:chr00:8303662-8432686-rc	removed	retained	grid_absent
Vvinifera:chr00:832147-893587	removed	retained	grid_absent
Vvinifera:chr00:8326835-8357555	changed	retained	retained
Vvinifera:chr00:8327827-8389267	removed	retained	grid_absent
Vvinifera:chr00:832838-894278	added	grid_absent	retained
Vvinifera:chr00:8328518-8389958	added	grid_absent	retained
Vvinifera:chr00:8339890-8468914	added	grid_absent	retained
Vvinifera:chr00:8389267-8450707	removed	retained	grid_absent
Vvinifera:chr00:8389958-8451398	added	grid_absent	retained
Vvinifera:chr00:8432686-8561710	removed	retained	grid_absent
Vvinifera:chr00:8450707-8512147	removed	retained	grid_absent
