gene	chrom	strand	gene_start	gene_end	gene_length	region_start	region_end	region_length	preprocess_status	n_cds	n_utr5	n_utr3	n_transcripts	n_tokens	n_unk_tokens	over_token_cap	over_vocab_limit
Zm00001d027296.RefGen_V4	1	-	2109189	2113478	4290	2108261	2114405	6144	retained	3	4	2	3	124	0	0	0
Zm00001d027298.RefGen_V4	1	-	2154232	2156387	2156	2152237	2158381	6144	retained	4	1	1	1	81	0	0	0
Zm00001d027299.RefGen_V4	1	-	2157230	2170332	13103	2154564	2172996	18432	retained	28	27	16	26	1281	0	0	0
Zm00001d027300.RefGen_V4	1	-	2233954	2241438	7485	2231551	2243839	12288	retained	18	6	7	5	443	0	0	0
Zm00001d027302.RefGen_V4	1	-	2284852	2289401	4550	2284054	2290198	6144	retained	14	7	6	6	395	0	0	0
Zm00001d027303.RefGen_V4	1	-	2292603	2293985	1383	2290221	2296365	6144	retained	3	1	1	1	68	0	0	0
Zm00001d027304.RefGen_V4	1	+	2298093	2302943	4851	2297445	2303589	6144	retained	28	12	35	20	1120	0	0	0
Zm00001d027305.RefGen_V4	1	-	2386120	2388018	1899	2383996	2390140	6144	retained	4	1	2	2	96	0	0	0
Zm00001d027306.RefGen_V4	1	-	2466645	2467540	896	2464020	2470164	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027307.RefGen_V4	1	+	2523140	2531089	7950	2520970	2533258	12288	retained	26	45	16	31	1392	0	0	0
Zm00001d027308.RefGen_V4	1	-	2562283	2565147	2865	2560642	2566786	6144	retained	6	0	2	1	107	0	0	0
Zm00001d027309.RefGen_V4	1	-	2629289	2635834	6546	2626417	2638705	12288	retained	22	5	16	10	646	0	0	0
Zm00001d027310.RefGen_V4	1	-	2650836	2653089	2254	2648890	2655034	6144	retained	4	1	1	1	81	0	0	0
Zm00001d027311.RefGen_V4	1	+	2746424	2749031	2608	2744655	2750799	6144	retained	3	1	1	1	68	0	0	0
Zm00001d027312.RefGen_V4	1	+	2774054	2780630	6577	2771197	2783485	12288	retained	22	22	24	11	965	0	0	0
Zm00001d027313.RefGen_V4	1	-	2781142	2782403	1262	2778700	2784844	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027314.RefGen_V4	1	+	2809751	2811917	2167	2807761	2813905	6144	retained	9	3	4	3	218	0	0	0
Zm00001d027315.RefGen_V4	1	-	2812496	2813750	1255	2810050	2816194	6144	retained	6	1	2	2	124	0	0	0
Zm00001d027317.RefGen_V4	1	+	2818955	2826611	7657	2816638	2828926	12288	retained	25	32	28	22	1526	0	0	0
Zm00001d027318.RefGen_V4	1	-	2827035	2829836	2802	2825363	2831507	6144	retained	5	1	1	1	94	0	0	0
Zm00001d027319.RefGen_V4	1	+	2869707	2878262	8556	2867840	2880128	12288	retained	14	9	8	6	442	0	0	0
Zm00001d027320.RefGen_V4	1	-	2878535	2889452	10918	2877849	2890137	12288	retained	18	1	2	2	289	0	0	0
Zm00001d027321.RefGen_V4	1	+	2883539	2892612	9074	2881931	2894219	12288	retained	4	11	5	8	304	0	0	0
Zm00001d027322.RefGen_V4	1	+	2894775	2897548	2774	2893089	2899233	6144	retained	2	2	1	1	68	0	0	0
Zm00001d027323.RefGen_V4	1	+	2934269	2934775	507	2931449	2937593	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027324.RefGen_V4	1	+	2959502	2972168	12667	2956618	2975050	18432	retained	23	5	3	3	482	0	0	0
Zm00001d027325.RefGen_V4	1	+	2974258	2976935	2678	2972524	2978668	6144	retained	6	3	2	3	154	0	0	0
Zm00001d027326.RefGen_V4	1	-	2977014	2997162	20149	2974799	2999375	24576	retained	24	15	5	5	700	0	0	0
Zm00001d027329.RefGen_V4	1	+	3031993	3036913	4921	3031380	3037524	6144	retained	18	19	6	10	610	0	0	0
Zm00001d027330.RefGen_V4	1	+	3051538	3052986	1449	3049189	3055333	6144	retained	5	3	2	2	139	0	0	0
Zm00001d027332.RefGen_V4	1	-	3095308	3095604	297	3092383	3098527	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027333.RefGen_V4	1	+	3104159	3122867	18709	3101224	3125800	24576	retained	69	78	41	36	3425	56	1	1
Zm00001d027334.RefGen_V4	1	+	3124648	3135817	11170	3124088	3136376	12288	retained	38	28	18	21	1277	0	0	0
Zm00001d027335.RefGen_V4	1	-	3172313	3176736	4424	3171452	3177596	6144	retained	4	2	2	2	108	0	0	0
Zm00001d027337.RefGen_V4	1	+	3224423	3230647	6225	3221390	3233678	12288	retained	35	17	22	11	1149	0	0	0
Zm00001d027338.RefGen_V4	1	+	3231117	3231836	720	3228404	3234548	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027339.RefGen_V4	1	-	3232396	3233834	1439	3230042	3236186	6144	retained	4	3	1	2	113	0	0	0
Zm00001d027340.RefGen_V4	1	+	3272230	3288228	15999	3271012	3289444	18432	retained	38	23	21	13	1338	0	0	0
Zm00001d027341.RefGen_V4	1	-	3289535	3291106	1572	3287248	3293392	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027342.RefGen_V4	1	-	3292884	3294726	1843	3290732	3296876	6144	retained	2	3	1	2	85	0	0	0
Zm00001d027343.RefGen_V4	1	+	3368268	3369884	1617	3366003	3372147	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027344.RefGen_V4	1	+	3371324	3374866	3543	3370022	3376166	6144	retained	18	9	13	9	571	0	0	0
Zm00001d027345.RefGen_V4	1	-	3377702	3378405	704	3374981	3381125	6144	retained	1	1	0	1	29	0	0	0
Zm00001d027346.RefGen_V4	1	+	3379341	3380308	968	3376752	3382896	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027347.RefGen_V4	1	-	3380644	3385523	4880	3380011	3386155	6144	retained	9	3	1	2	174	0	0	0
Zm00001d027348.RefGen_V4	1	+	3441886	3443394	1509	3439567	3445711	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027349.RefGen_V4	1	-	3443598	3446350	2753	3441901	3448045	6144	retained	3	1	1	1	68	0	0	0
Zm00001d027350.RefGen_V4	1	-	3448500	3452123	3624	3447239	3453383	6144	retained	1	4	1	1	81	0	0	0
Zm00001d027351.RefGen_V4	1	+	3482848	3487232	4385	3481967	3488111	6144	retained	7	1	1	1	119	0	0	0
Zm00001d027352.RefGen_V4	1	+	3489406	3491807	2402	3487534	3493678	6144	retained	10	2	5	2	225	0	0	0
Zm00001d027353.RefGen_V4	1	-	3495121	3497148	2028	3493062	3499206	6144	retained	6	1	1	1	107	0	0	0
Zm00001d027354.RefGen_V4	1	+	3544521	3549369	4849	3543872	3550016	6144	retained	10	2	3	2	199	0	0	0
Zm00001d027355.RefGen_V4	1	+	3573479	3575207	1729	3571270	3577414	6144	retained	6	2	2	2	135	0	0	0
Zm00001d027359.RefGen_V4	1	-	3651033	3661251	10219	3649997	3662285	12288	retained	6	1	1	1	112	0	0	0
Zm00001d027360.RefGen_V4	1	+	3691497	3691825	329	3688588	3694732	6144	retained	2	0	0	1	29	0	0	0
Zm00001d027361.RefGen_V4	1	+	3741739	3744408	2670	3740001	3746145	6144	retained	3	1	1	1	68	0	0	0
Zm00001d027362.RefGen_V4	1	+	3772168	3775082	2915	3770552	3776696	6144	retained	4	0	1	1	68	0	0	0
Zm00001d027363.RefGen_V4	1	-	3775217	3778050	2834	3773561	3779705	6144	retained	10	1	1	1	159	0	0	0
Zm00001d027365.RefGen_V4	1	+	3799515	3801185	1671	3797277	3803421	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027366.RefGen_V4	1	-	3805137	3807525	2389	3803258	3809402	6144	retained	7	3	2	2	168	0	0	0
Zm00001d027367.RefGen_V4	1	+	3807343	3810146	2804	3805672	3811816	6144	retained	4	3	2	2	121	0	0	0
Zm00001d027368.RefGen_V4	1	+	3811533	3812285	753	3808836	3814980	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027369.RefGen_V4	1	+	3842248	3847295	5048	3841699	3847843	6144	retained	12	6	3	4	286	0	0	0
Zm00001d027370.RefGen_V4	1	+	3849540	3854486	4947	3848940	3855084	6144	retained	3	1	1	1	65	0	0	0
Zm00001d027371.RefGen_V4	1	+	3912856	3917063	4208	3911887	3918031	6144	retained	2	1	1	1	54	0	0	0
Zm00001d027373.RefGen_V4	1	+	3960300	3964921	4622	3959538	3965682	6144	retained	18	4	7	6	405	0	0	0
Zm00001d027374.RefGen_V4	1	-	3966724	3968357	1634	3964468	3970612	6144	retained	5	1	0	2	86	0	0	0
Zm00001d027375.RefGen_V4	1	+	3971512	3972133	622	3968750	3974894	6144	retained	1	0	1	1	29	0	0	0
Zm00001d027376.RefGen_V4	1	-	3974143	3987696	13554	3971703	3990135	18432	retained	17	27	3	10	745	0	0	0
Zm00001d027379.RefGen_V4	1	-	3985726	3987731	2006	3983656	3989800	6144	retained	5	1	0	1	81	0	0	0
Zm00001d027380.RefGen_V4	1	-	3988430	3996967	8538	3986554	3998842	12288	retained	11	2	4	3	234	0	0	0
Zm00001d027383.RefGen_V4	1	+	4110011	4114671	4661	4109268	4115412	6144	retained	15	11	6	9	511	0	0	0
Zm00001d027384.RefGen_V4	1	+	4115013	4117719	2707	4113293	4119437	6144	retained	3	1	1	1	68	0	0	0
Zm00001d027385.RefGen_V4	1	-	4118697	4120755	2059	4116653	4122797	6144	retained	9	5	6	5	275	0	0	0
Zm00001d027386.RefGen_V4	1	-	4121780	4126391	4612	4121013	4127157	6144	retained	19	12	5	6	516	0	0	0
Zm00001d027387.RefGen_V4	1	-	4133373	4135619	2247	4131423	4137567	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027388.RefGen_V4	1	+	4143058	4147651	4594	4142282	4148426	6144	retained	5	0	1	1	79	0	0	0
Zm00001d027389.RefGen_V4	1	-	4149732	4149992	261	4146789	4152933	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027391.RefGen_V4	1	-	4216772	4220361	3590	4215494	4221638	6144	retained	5	0	0	1	68	0	0	0
Zm00001d027392.RefGen_V4	1	+	4220852	4296236	75385	4218607	4298479	79872	region_over_maxlen	77	86	55	41	4933	92	1	1
Zm00001d027393.RefGen_V4	1	+	4317978	4319270	1293	4315551	4321695	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027394.RefGen_V4	1	+	4340135	4340790	656	4337390	4343534	6144	retained	1	1	1	1	42	0	0	0
Zm00001d027395.RefGen_V4	1	+	4341041	4351530	10490	4340141	4352429	12288	retained	10	12	3	5	379	0	0	0
Zm00001d027399.RefGen_V4	1	+	4402312	4404440	2129	4400303	4406447	6144	retained	6	4	2	3	169	0	0	0
Zm00001d027400.RefGen_V4	1	-	4405004	4406685	1682	4402772	4408916	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027401.RefGen_V4	1	-	4417538	4425832	8295	4415540	4427828	12288	retained	10	5	9	8	401	0	0	0
Zm00001d027402.RefGen_V4	1	+	4417830	4421059	3230	4416372	4422516	6144	retained	11	7	15	6	457	0	0	0
Zm00001d027403.RefGen_V4	1	-	4494975	4499451	4477	4494140	4500284	6144	retained	7	2	3	2	162	0	0	0
Zm00001d027404.RefGen_V4	1	-	4532388	4535448	3061	4530845	4536989	6144	retained	4	1	0	1	68	0	0	0
Zm00001d027405.RefGen_V4	1	-	4536701	4538190	1490	4534373	4540517	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027406.RefGen_V4	1	-	4586019	4588240	2222	4584057	4590201	6144	retained	4	0	0	1	55	0	0	0
Zm00001d027407.RefGen_V4	1	-	4600214	4601914	1701	4597991	4604135	6144	retained	4	6	0	3	149	0	0	0
Zm00001d027408.RefGen_V4	1	-	4604071	4604541	471	4601233	4607377	6144	retained	1	0	1	1	29	0	0	0
Zm00001d027409.RefGen_V4	1	+	4661492	4662475	984	4658911	4665055	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027411.RefGen_V4	1	-	4718946	4722343	3398	4717572	4723716	6144	retained	3	1	1	1	68	0	0	0
Zm00001d027412.RefGen_V4	1	-	4724456	4736832	12377	4721427	4739859	18432	retained	36	78	55	44	3086	66	1	1
Zm00001d027414.RefGen_V4	1	+	4744402	4745151	750	4741704	4747848	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027415.RefGen_V4	1	+	4832874	4838381	5508	4832555	4838699	6144	retained	20	15	16	8	701	0	0	0
Zm00001d027416.RefGen_V4	1	-	4840100	4842684	2585	4838319	4844463	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027417.RefGen_V4	1	-	4846995	4847327	333	4844088	4850232	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027419.RefGen_V4	1	+	4891941	4894990	3050	4890393	4896537	6144	retained	3	0	1	1	55	0	0	0
Zm00001d027421.RefGen_V4	1	-	4900834	4903371	2538	4899030	4905174	6144	retained	4	1	1	1	81	0	0	0
Zm00001d027422.RefGen_V4	1	-	4907157	4909468	2312	4905240	4911384	6144	retained	7	1	1	1	120	0	0	0
Zm00001d027423.RefGen_V4	1	-	4909652	4914685	5034	4909096	4915240	6144	retained	4	2	1	2	95	0	0	0
Zm00001d027424.RefGen_V4	1	+	4949860	4952016	2157	4947865	4954009	6144	retained	4	1	1	1	81	0	0	0
Zm00001d027425.RefGen_V4	1	-	4979131	4994850	15720	4977774	4996206	18432	retained	8	3	3	2	197	0	0	0
Zm00001d027427.RefGen_V4	1	+	5095291	5098140	2850	5093643	5099787	6144	retained	5	3	1	2	127	0	0	0
Zm00001d027428.RefGen_V4	1	-	5102089	5104469	2381	5100206	5106350	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027429.RefGen_V4	1	+	5106818	5108654	1837	5104663	5110807	6144	retained	4	2	1	2	99	0	0	0
Zm00001d027430.RefGen_V4	1	+	5111247	5116316	5070	5110709	5116853	6144	retained	11	3	2	2	214	0	0	0
Zm00001d027431.RefGen_V4	1	+	5123182	5127784	4603	5122410	5128554	6144	retained	9	4	4	3	235	0	0	0
Zm00001d027434.RefGen_V4	1	+	5159303	5161741	2439	5157449	5163593	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027435.RefGen_V4	1	+	5202748	5208577	5830	5202590	5208734	6144	retained	4	5	1	2	135	0	0	0
Zm00001d027436.RefGen_V4	1	+	5328311	5330875	2565	5326520	5332664	6144	retained	2	0	0	1	29	0	0	0
Zm00001d027437.RefGen_V4	1	-	5332339	5332716	378	5329455	5335599	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027439.RefGen_V4	1	+	5412144	5413568	1425	5409783	5415927	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027440.RefGen_V4	1	+	5422920	5423669	750	5420222	5426366	6144	retained	1	1	0	1	29	0	0	0
Zm00001d027441.RefGen_V4	1	+	5431259	5434466	3208	5429790	5435934	6144	retained	8	5	1	3	192	0	0	0
Zm00001d027442.RefGen_V4	1	-	5434308	5435871	1564	5432017	5438161	6144	retained	3	1	1	1	68	0	0	0
Zm00001d027443.RefGen_V4	1	-	5463952	5466250	2299	5462028	5468172	6144	retained	6	1	1	1	107	0	0	0
Zm00001d027444.RefGen_V4	1	+	5469651	5477988	8338	5467675	5479963	12288	retained	14	1	6	3	300	0	0	0
Zm00001d027445.RefGen_V4	1	+	5481138	5487574	6437	5478211	5490499	12288	retained	14	10	3	4	380	0	0	0
Zm00001d027446.RefGen_V4	1	+	5491481	5495299	3819	5490317	5496461	6144	retained	7	1	1	1	120	0	0	0
Zm00001d027447.RefGen_V4	1	-	5496540	5500644	4105	5495519	5501663	6144	retained	19	16	14	11	663	0	0	0
Zm00001d027448.RefGen_V4	1	+	5518494	5523341	4848	5517845	5523989	6144	retained	21	11	13	11	698	0	0	0
Zm00001d027449.RefGen_V4	1	+	5525424	5526840	1417	5523059	5529203	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027450.RefGen_V4	1	-	5528958	5535135	6178	5525902	5538190	12288	retained	17	8	6	8	441	0	0	0
Zm00001d027451.RefGen_V4	1	-	5537112	5540505	3394	5535736	5541880	6144	retained	8	1	1	1	133	0	0	0
Zm00001d027453.RefGen_V4	1	-	5589770	5590513	744	5587069	5593213	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027454.RefGen_V4	1	+	5603127	5604467	1341	5600724	5606868	6144	retained	6	1	2	2	121	0	0	0
Zm00001d027455.RefGen_V4	1	-	5610415	5614949	4535	5609609	5615753	6144	retained	15	7	2	2	321	0	0	0
Zm00001d027456.RefGen_V4	1	-	5661737	5663089	1353	5659340	5665484	6144	retained	5	1	1	1	94	0	0	0
Zm00001d027457.RefGen_V4	1	-	5698898	5699272	375	5696012	5702156	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027458.RefGen_V4	1	-	5701680	5704055	2376	5699795	5705939	6144	retained	3	1	1	1	68	0	0	0
Zm00001d027459.RefGen_V4	1	-	5706025	5712786	6762	5703261	5715549	12288	retained	3	2	0	1	68	0	0	0
Zm00001d027460.RefGen_V4	1	+	5799244	5810862	11619	5798908	5811196	12288	retained	10	0	0	2	140	0	0	0
Zm00001d027461.RefGen_V4	1	+	5816871	5819671	2801	5815198	5821342	6144	retained	6	3	2	2	149	0	0	0
Zm00001d027462.RefGen_V4	1	-	5819752	5825029	5278	5819318	5825462	6144	retained	20	18	6	7	628	0	0	0
Zm00001d027463.RefGen_V4	1	+	5883718	5886868	3151	5882220	5888364	6144	retained	2	0	1	1	42	0	0	0
Zm00001d027464.RefGen_V4	1	+	5886936	5888408	1473	5884599	5890743	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027466.RefGen_V4	1	-	5893819	5906194	12376	5890790	5909222	18432	retained	20	1	1	1	311	0	0	0
Zm00001d027467.RefGen_V4	1	+	5908533	5913510	4978	5907949	5914093	6144	retained	7	1	1	1	116	0	0	0
Zm00001d027468.RefGen_V4	1	+	5943755	5947624	3870	5942617	5948761	6144	retained	4	4	2	2	136	0	0	0
Zm00001d027469.RefGen_V4	1	+	6020779	6023318	2540	6018976	6025120	6144	retained	4	3	1	2	115	0	0	0
Zm00001d027470.RefGen_V4	1	-	6027852	6032982	5131	6027344	6033488	6144	retained	16	1	2	4	259	0	0	0
Zm00001d027471.RefGen_V4	1	+	6034724	6035902	1179	6032240	6038384	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027472.RefGen_V4	1	-	6068283	6161610	93328	6065794	6164098	98304	region_over_maxlen	44	11	1	3	834	0	0	0
Zm00001d027474.RefGen_V4	1	-	6125778	6145963	20186	6123582	6148158	24576	retained	11	0	0	1	162	0	0	0
Zm00001d027475.RefGen_V4	1	-	6154221	6161610	7390	6151771	6164059	12288	retained	8	3	0	1	146	0	0	0
Zm00001d027476.RefGen_V4	1	+	6207107	6208223	1117	6204592	6210736	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027477.RefGen_V4	1	-	6237666	6238642	977	6235081	6241225	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027478.RefGen_V4	1	-	6239823	6246616	6794	6237075	6249363	12288	retained	2	1	1	1	55	0	0	0
Zm00001d027479.RefGen_V4	1	-	6246862	6251356	4495	6246036	6252180	6144	retained	14	1	2	2	236	0	0	0
Zm00001d027480.RefGen_V4	1	+	6270311	6275109	4799	6269637	6275781	6144	retained	10	3	4	3	236	0	0	0
Zm00001d027481.RefGen_V4	1	-	6274095	6277349	3255	6272649	6278793	6144	retained	4	1	2	1	94	0	0	0
Zm00001d027483.RefGen_V4	1	-	6293847	6294413	567	6291057	6297201	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027484.RefGen_V4	1	-	6296235	6300940	4706	6295515	6301659	6144	retained	20	8	9	6	512	0	0	0
Zm00001d027485.RefGen_V4	1	+	6307711	6310327	2617	6305946	6312090	6144	retained	10	1	2	2	179	0	0	0
Zm00001d027486.RefGen_V4	1	-	6310322	6313633	3312	6308905	6315049	6144	retained	14	2	2	2	245	0	0	0
Zm00001d027487.RefGen_V4	1	-	6319205	6328780	9576	6317848	6330136	12288	retained	46	40	57	23	2313	14	1	1
Zm00001d027488.RefGen_V4	1	+	6407153	6409815	2663	6405411	6411555	6144	retained	6	1	1	1	107	0	0	0
Zm00001d027489.RefGen_V4	1	-	6419426	6422501	3076	6417891	6424035	6144	retained	4	1	1	1	81	0	0	0
Zm00001d027490.RefGen_V4	1	-	6427092	6431383	4292	6426165	6432309	6144	retained	14	1	1	2	225	0	0	0
Zm00001d027492.RefGen_V4	1	-	6524381	6529577	5197	6523906	6530050	6144	retained	7	4	2	2	169	0	0	0
Zm00001d027493.RefGen_V4	1	-	6542791	6543117	327	6539881	6546025	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027494.RefGen_V4	1	+	6551336	6554451	3116	6549821	6555965	6144	retained	6	1	1	1	107	0	0	0
Zm00001d027495.RefGen_V4	1	+	6556059	6558427	2369	6554170	6560314	6144	retained	3	4	1	1	107	0	0	0
Zm00001d027496.RefGen_V4	1	-	6561983	6563016	1034	6559427	6565571	6144	retained	2	0	0	1	29	0	0	0
Zm00001d027497.RefGen_V4	1	-	6567895	6569220	1326	6565485	6571629	6144	retained	4	1	0	1	68	0	0	0
Zm00001d027498.RefGen_V4	1	+	6607016	6608379	1364	6604625	6610769	6144	retained	4	0	1	1	68	0	0	0
Zm00001d027499.RefGen_V4	1	+	6771571	6773307	1737	6769366	6775510	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027500.RefGen_V4	1	+	6797799	6798604	806	6795129	6801273	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027501.RefGen_V4	1	-	6821145	6822056	912	6818528	6824672	6144	retained	4	2	0	1	81	0	0	0
Zm00001d027502.RefGen_V4	1	+	6825834	6829116	3283	6824402	6830546	6144	retained	5	2	2	2	125	0	0	0
Zm00001d027503.RefGen_V4	1	-	6829809	6840626	10818	6829073	6841361	12288	retained	34	20	37	29	1531	0	0	0
Zm00001d027504.RefGen_V4	1	-	6907596	6912220	4625	6906835	6912979	6144	retained	6	4	2	3	165	0	0	0
Zm00001d027505.RefGen_V4	1	-	6915078	6918536	3459	6913734	6919878	6144	retained	7	4	4	2	199	0	0	0
