locus	n_cds_segments	atrtd3_transcripts	origins	any_isoseq	all_isoseq
AT4G17570	8	AT4G17570.10,AT4G17570.2,AT4G17570.3	Isoseq,Isoseq,Isoseq	True	True
AT4G18375	4	AT4G18375.9	Isoseq	True	True
AT4G19110	14	AT4G19110.1,AT4G19110.2,AT4G19110.25,AT4G19110.47	Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT4G19160	8	AT4G19160.2	Isoseq	True	True
AT4G21580	5	AT4G21580.20	Isoseq	True	True
AT4G22540	10	AT4G22540.12,AT4G22540.2,AT4G22540.29,AT4G22540.7,AT4G22540.9	Isoseq,Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT4G22860	18	AT4G22860.2	Isoseq	True	True
AT4G23420	8	AT4G23420.2	Isoseq	True	True
AT4G25315	4	AT4G25315.1,AT4G25315.4	Isoseq,Isoseq	True	True
AT4G25850	6	AT4G25850.2	Isoseq	True	True
AT4G26640	6	AT4G26640.3	Isoseq	True	True
AT4G27100	11	AT4G27100.1,AT4G27100.10	Isoseq,Isoseq	True	True
AT4G28480	3	AT4G28480.4,AT4G28480.7	Isoseq,Isoseq	True	True
AT4G28660	2	AT4G28660.3	Isoseq	True	True
AT4G28820	8	AT4G28820.5	Isoseq	True	True
AT4G28860	13	AT4G28860.16,AT4G28860.17,AT4G28860.19,AT4G28860.20,AT4G28860.21,AT4G28860.22,AT4G28860.8	Isoseq,Isoseq,atRTD2,Isoseq,Isoseq,Isoseq,Isoseq	True	False
AT4G29810	8	AT4G29810.5	Isoseq	True	True
AT4G29930	5	AT4G29930.4	Isoseq	True	True
AT4G30510	11	AT4G30510.2,AT4G30510.9	Isoseq,Isoseq	True	True
AT4G33510	5	AT4G33510.11,AT4G33510.20	Isoseq,Isoseq	True	True
AT4G35090	8	AT4G35090.12,AT4G35090.22,AT4G35090.27	Isoseq,Isoseq,Isoseq	True	True
AT4G35350	4	AT4G35350.2,AT4G35350.5	Isoseq,Isoseq	True	True
AT4G35600	6	AT4G35600.8	Isoseq	True	True
AT4G37890	2	AT4G37890.1	Isoseq	True	True
AT4G38810	5	AT4G38810.4	Isoseq	True	True
AT4G39260	2	AT4G39260.14	Isoseq	True	True
AT4G39370	9	AT4G39370.3	Isoseq	True	True
AT5G01270	14	AT5G01270.4	Isoseq	True	True
AT5G04560	19	AT5G04560.2	atRTD2	False	False
AT5G05490	20	AT5G05490.2	Isoseq	True	True
AT5G07510	2	AT5G07510.4	Isoseq	True	True
AT5G08100	4	AT5G08100.3	Isoseq	True	True
AT5G08400	8	AT5G08400.1	atRTD2	False	False
AT5G12480	8	AT5G12480.1,AT5G12480.3,AT5G12480.4,AT5G12480.5,AT5G12480.9	Isoseq,Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT5G13360	5	AT5G13360.15	Isoseq	True	True
AT5G13450	6	AT5G13450.2	Isoseq	True	True
AT5G16120	8	AT5G16120.1,AT5G16120.10,AT5G16120.2,AT5G16120.3,AT5G16120.8	Isoseq,atRTD2,Isoseq,Isoseq,Isoseq	True	False
AT5G19430	4	AT5G19430.11,AT5G19430.19	atRTD2,Isoseq	True	False
AT5G20160	5	AT5G20160.5	Isoseq	True	True
AT5G21060	12	AT5G21060.6	Isoseq	True	True
AT5G22140	4	AT5G22140.2,AT5G22140.3	Isoseq,Isoseq	True	True
AT5G25630	3	AT5G25630.11	Isoseq	True	True
AT5G40890	6	AT5G40890.11,AT5G40890.6,AT5G40890.7	Isoseq,Isoseq,Isoseq	True	True
AT5G42020	6	AT5G42020.2	Isoseq	True	True
AT5G42540	22	AT5G42540.3	Isoseq	True	True
AT5G43960	9	AT5G43960.9	Isoseq	True	True
AT5G44920	2	AT5G44920.3	Isoseq	True	True
AT5G45940	4	AT5G45940.3	Isoseq	True	True
AT5G48240	8	AT5G48240.5	Isoseq	True	True
AT5G48630	9	AT5G48630.1,AT5G48630.5	Isoseq,Isoseq	True	True
AT5G50020	5	AT5G50020.6	Isoseq	True	True
AT5G55250	4	AT5G55250.1,AT5G55250.3	Isoseq,Isoseq	True	True
AT5G57860	4	AT5G57860.10,AT5G57860.13,AT5G57860.5,AT5G57860.6	Isoseq,Isoseq,atRTD2,Isoseq	True	False
AT5G58330	12	AT5G58330.5	Isoseq	True	True
AT5G58540	5	AT5G58540.4	Isoseq	True	True
AT5G61270	6	AT5G61270.14	Isoseq	True	True
AT5G62100	4	AT5G62100.4,AT5G62100.6	Isoseq,Isoseq	True	True
AT5G63470	1	AT5G63470.1,AT5G63470.3	Isoseq,Isoseq	True	True
AT5G63670	5	AT5G63670.2	Isoseq	True	True
AT5G63880	6	AT5G63880.4	Isoseq	True	True
AT5G63990	8	AT5G63990.1	Isoseq	True	True
AT5G64080	3	AT5G64080.3	Isoseq	True	True
AT5G64250	5	AT5G64250.16,AT5G64250.17	Isoseq,Isoseq	True	True
AT5G64400	5	AT5G64400.3,AT5G64400.7	Isoseq,Isoseq	True	True
AT5G65240	11	AT5G65240.2,AT5G65240.6	Isoseq,Isoseq	True	True
AT5G65290	14	AT5G65290.4,AT5G65290.6	Isoseq,Isoseq	True	True
AT5G66120	8	AT5G66120.8	Isoseq	True	True
AT5G66450	4	AT5G66450.2,AT5G66450.3,AT5G66450.8,AT5G66450.9	Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT5G66600	10	AT5G66600.12,AT5G66600.13,AT5G66600.6,AT5G66600.9	atRTD2,atRTD2,atRTD2,atRTD2	False	False
AT5G66640	9	AT5G66640.17	Isoseq	True	True
