species_id	gene_id	gene_name	flag	swissprot_accession	entry_name	pe	caution_records	difference_vs_reference	closest_reference_protein	curated_length
Athaliana	AT3G47750.TAIR10	AT3G47750	swissprot_caution_erroneous_gene_model_prediction	Q9STT8	AB4A_ARATH	3	Sequence=CAB41858.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix412_suffix525_len937vs947	AT3G47750.1.TAIR10	937
Athaliana	AT3G47760.TAIR10	AT3G47760	swissprot_caution_erroneous_gene_model_prediction	Q9STT7	AB5A_ARATH	3	Sequence=CAB41859.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix145_suffix333_len936vs872	AT3G47760.1.TAIR10	936
Athaliana	AT3G47770.TAIR10	AT3G47770	swissprot_caution_erroneous_gene_model_prediction	Q9STT6	AB6A_ARATH	3	Sequence=AEE78327.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB41860.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix127_suffix708_len926vs900	AT3G47770.1.TAIR10	926
Athaliana	AT5G61730.TAIR10	AT5G61730	swissprot_caution_erroneous_gene_model_prediction	Q9FLT5	AB9A_ARATH	1	Sequence=AED97510.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix474_suffix466_len950vs940	AT5G61730.1.TAIR10	950
Athaliana	AT5G36925.TAIR10	AT5G36925	swissprot_caution_erroneous_initiation	Q9FIW0	ACIN1_ARATH	2	Sequence=BAC43263.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305}	reference_shorter_by_13aa	AT5G36925.1.TAIR10	76
Athaliana	AT1G64710.TAIR10	AT1G64710	swissprot_caution_erroneous_gene_model_prediction	Q8VZ49	ADHL4_ARATH	2	Sequence=AAD38247.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	reference_longer_by_16aa	AT1G64710.1.TAIR10	380
Athaliana	AT3G09380.TAIR10	AT3G09380	swissprot_caution_erroneous_initiation	Q9SR25	AEL2_ARATH	2	Sequence=AAF14033.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305}	reference_longer_by_7aa	AT3G09380.1.TAIR10	149
Athaliana	AT4G18960.TAIR10	AT4G18960	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_erroneous_initiation	P17839	AG_ARATH	1	Sequence=CAA16753.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAA37642.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305} | Sequence=CAB78898.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	Met1_only	AT4G18960.1.TAIR10	252
Athaliana	AT3G07390.TAIR10	AT3G07390	swissprot_caution_erroneous_initiation	Q94BT2	AIR12_ARATH	1	Sequence=AAC62613.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305} | Sequence=AAK64012.2; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305} | Sequence=AEE74537.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305}	reference_longer_by_21aa	AT3G07390.1.TAIR10	252
Athaliana	AT5G11030.TAIR10	AT5G11030	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_erroneous_initiation	Q84VX3	ALF4_ARATH	1	Sequence=BAE99498.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305} | Sequence=CAC03451.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	reference_shorter_by_24aa	AT5G11030.2.TAIR10	626
Athaliana	AT1G31600.TAIR10	AT1G31600	swissprot_caution_erroneous_gene_model_prediction	Q8RWY1	ALKB8_ARATH	2	Sequence=AAG60147.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	reference_longer_by_85aa	AT1G31600.3.TAIR10	346
Athaliana	AT4G34880.TAIR10	AT4G34880	swissprot_caution_erroneous_gene_model_prediction	A0A1P8B760	AMI4G_ARATH	2	Sequence=AEE86432.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB45449.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB80205.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix180_suffix285_len512vs466	AT4G34880.1.TAIR10	512
Athaliana	AT4G18120.TAIR10	AT4G18120	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_frameshift	Q9SVV9	AML3_ARATH	2	Sequence=BAH57189.1; Type=Miscellaneous discrepancy; Note=Sequencing errors.; Evidence={ECO:0000305} | Sequence=CAB53653.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB53653.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=CAB78814.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB78814.1; Type=Frameshift; Evidence={ECO:0000305}	internal_difference_prefix188_suffix535_len759vs730	AT4G18120.1.TAIR10	759
Athaliana	AT4G16144.TAIR10	AT4G16144	swissprot_caution_frameshift	Q5PNU3	AMSH3_ARATH	1	Sequence=AL161543; Type=Frameshift; Evidence={ECO:0000305} | Sequence=Z97340; Type=Frameshift; Evidence={ECO:0000305}	same_length_104_mismatches	AT4G16144.1.TAIR10	507
Athaliana	AT3G05870.TAIR10	AT3G05870	swissprot_caution_erroneous_gene_model_prediction	Q9M9L0	APC11_ARATH	1	Sequence=AAF26089.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AEE74309.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AEE74310.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix6_suffix77_len84vs87	AT3G05870.1.TAIR10	84
Athaliana	AT5G24470.TAIR10	AT5G24470	swissprot_caution_erroneous_initiation	Q6LA42	APRR5_ARATH	1	Sequence=BAB13743.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305}	reference_longer_by_109aa	AT5G24470.1.TAIR10	558
Athaliana	AT4G00760.TAIR10	AT4G00760	swissprot_caution_erroneous_gene_model_prediction	O23100	APRR8_ARATH	2	Sequence=AAB62863.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB80885.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	reference_shorter_by_31aa	AT4G00760.1.TAIR10	367
Athaliana	AT3G51290.TAIR10	AT3G51290	swissprot_caution_erroneous_gene_model_prediction	A0A178VBJ0	APSR1_ARATH	2	Sequence=CAB62651.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix634_suffix0_len640vs798	AT3G51290.2.TAIR10	640
Athaliana	AT2G34850.TAIR10	AT2G34850	swissprot_caution_erroneous_gene_model_prediction	O64749	ARAE2_ARATH	2	Sequence=AAC12825.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	reference_shorter_by_181aa	AT2G34850.1.TAIR10	417
Athaliana	AT1G34170.TAIR10	AT1G34170	swissprot_caution_erroneous_gene_model_prediction	Q9FX25	ARFM_ARATH	2	Sequence=AAD39616.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AAG12520.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix480_suffix0_len621vs505	AT1G34170.1.TAIR10	621
Athaliana	AT1G35520.TAIR10	AT1G35520	swissprot_caution_erroneous_gene_model_prediction	Q9LQE3	ARFO_ARATH	3	Sequence=AAF79360.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix107_suffix486_len593vs598	AT1G35520.1.TAIR10	593
Athaliana	AT2G19940.TAIR10	AT2G19940	swissprot_caution_erroneous_gene_model_prediction	Q93Z70	ARGC_ARATH	1	Sequence=AAC62122.2; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	same_length_360_mismatches	AT2G19940.1.TAIR10	401
Athaliana	AT3G27720.TAIR10	AT3G27720	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_frameshift	Q9LVW9	ARI4_ARATH	5	Sequence=AEE77356.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AEE77356.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=AJ510207; Type=Frameshift; Evidence={ECO:0000305} | Sequence=BAB02696.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=BAB02696.1; Type=Frameshift; Evidence={ECO:0000305}	internal_difference_prefix45_suffix352_len529vs493	AT3G27720.1.TAIR10	529
Athaliana	AT2G27070.TAIR10	AT2G27070	swissprot_caution_erroneous_gene_model_prediction	Q9ZVD3	ARR13_ARATH	3	Sequence=AAC77865.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix555_suffix0_len572vs575	AT2G27070.1.TAIR10	572
Athaliana	AT5G58080.TAIR10	AT5G58080	swissprot_caution_erroneous_gene_model_prediction	Q9FGT7	ARR18_ARATH	2	Sequence=BAB10999.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	reference_shorter_by_17aa	AT5G58080.1.TAIR10	635
Athaliana	AT1G49190.TAIR10	AT1G49190	swissprot_caution_erroneous_gene_model_prediction	Q9M9B9	ARR19_ARATH	2	Sequence=AAF69721.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AEE32403.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix163_suffix139_len407vs622	AT1G49190.2.TAIR10	407
Athaliana	AT5G07210.TAIR10	AT5G07210	swissprot_caution_erroneous_gene_model_prediction	Q9LYP5	ARR21_ARATH	2	Sequence=AED91122.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB87277.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix41_suffix572_len613vs621	AT5G07210.1.TAIR10	613
Athaliana	AT4G16110.TAIR10	AT4G16110	swissprot_caution_erroneous_gene_model_prediction	Q9ZWJ9	ARR2_ARATH	1	Sequence=CAA06433.1; Type=Miscellaneous discrepancy; Note=Artifacts of PCR amplification.; Evidence={ECO:0000305} | Sequence=CAB10390.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB78653.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	same_length_392_mismatches	AT4G16110.1.TAIR10	664
Athaliana	AT1G77300.TAIR10	AT1G77300	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_erroneous_initiation	Q2LAE1	ASHH2_ARATH	1	Sequence=AAC34358.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=BAD94318.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305}	internal_difference_prefix1447_suffix312_len1759vs1805	AT1G77300.1.TAIR10	1759
Athaliana	AT5G11470.TAIR10	AT5G11470	swissprot_caution_erroneous_gene_model_prediction	Q9LYE3	ASI1_ARATH	1	Sequence=CAB87707.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix463_suffix0_len650vs757	AT5G11470.1.TAIR10	650
Athaliana	AT1G10230.TAIR10	AT1G10230	swissprot_caution_erroneous_initiation	Q9SY65	ASK18_ARATH	1	Sequence=AAD32873.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305} | Sequence=AAO22641.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305} | Sequence=AAO42455.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305}	reference_longer_by_25aa	AT1G10230.1.TAIR10	158
Athaliana	AT4G30510.TAIR10	AT4G30510	swissprot_caution_erroneous_gene_model_prediction	Q8H1Q8	AT18B_ARATH	2	Sequence=CAB79769.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	reference_shorter_by_54aa	AT4G30510.1.TAIR10	366
Athaliana	AT2G46493.TAIR10	AT2G46493	swissprot_caution_erroneous_gene_model_prediction	P0CH03	AT21C_ARATH	3	Sequence=AEC10705.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix1_suffix131_len366vs184	AT2G46493.1.TAIR10	366
Athaliana	AT2G28210.TAIR10	AT2G28210	swissprot_caution_erroneous_gene_model_prediction	F4IHR4	ATCA2_ARATH	2	Sequence=AAD29832.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix2_suffix213_len245vs217	AT2G28210.1.TAIR10	245
Athaliana	AT5G56330.TAIR10	AT5G56330	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_erroneous_termination	Q9FM99	ATCA8_ARATH	3	Sequence=AED96750.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AED96750.1; Type=Erroneous termination; Note=Truncated C-terminus.; Evidence={ECO:0000305} | Sequence=BAB11260.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=BAB11260.1; Type=Erroneous termination; Note=Truncated C-terminus.; Evidence={ECO:0000305}	internal_difference_prefix296_suffix54_len389vs350	AT5G56330.1.TAIR10	389
Athaliana	AT3G19190.TAIR10	AT3G19190	swissprot_caution_erroneous_gene_model_prediction	F8S296	ATG2_ARATH	2	Sequence=AEE76206.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=BAB02960.1; Type=Erroneous gene model prediction; Note=Was originally thought to correspond to two different genes.; Evidence={ECO:0000305} | Sequence=BAB02961.1; Type=Erroneous gene model prediction; Note=Was originally thought to correspond to two different genes.; Evidence={ECO:0000305}	internal_difference_prefix1478_suffix27_len1892vs1839	AT3G19190.1.TAIR10	1892
Athaliana	AT4G15975.TAIR10	AT4G15975	swissprot_caution_erroneous_gene_model_prediction	Q8LF65	ATL17_ARATH	2	Sequence=CAB10376.1; Type=Erroneous gene model prediction; Note=The predicted gene At4g15970 has been split into 2 genes: At4g15970 and At4g15975.; Evidence={ECO:0000305} | Sequence=CAB78639.1; Type=Erroneous gene model prediction; Note=The predicted gene At4g15970 has been split into 2 genes: At4g15970 and At4g15975.; Evidence={ECO:0000305}	same_length_4_mismatches	AT4G15975.1.TAIR10	235
Athaliana	AT5G05810.TAIR10	AT5G05810	swissprot_caution_erroneous_initiation	Q5EAE9	ATL43_ARATH	2	Sequence=AAW81728.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305}	reference_shorter_by_54aa	AT5G05810.1.TAIR10	407
Athaliana	AT1G66240.TAIR10	AT1G66240	swissprot_caution_erroneous_initiation	Q94BT9	ATOX1_ARATH	1	Sequence=AAG51766.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305} | Sequence=AAK64002.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305} | Sequence=AAL76156.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305} | Sequence=AEE34481.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305}	reference_shorter_by_10aa	AT1G66240.2.TAIR10	76
Athaliana	ATMG01190.TAIR10	ATMG01190	swissprot_caution_erroneous_gene_model_prediction	P92549	ATPAM_ARATH	1	Sequence=AAM15496.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	same_length_5_mismatches	ATMG01190.1.TAIR10	507
Athaliana	AT3G54830.TAIR10	AT3G54830	swissprot_caution_erroneous_gene_model_prediction	F4JE35	AVT1B_ARATH	3	Sequence=AEE79297.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=ANM64194.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB41101.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix425_suffix0_len540vs546	AT3G54830.1.TAIR10	540
Athaliana	AT4G18260.TAIR10	AT4G18260	swissprot_caution_erroneous_gene_model_prediction	Q0WPS2	B561M_ARATH	2	Sequence=CAA16798.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 2 genes: At4g18257 and At4g18260.; Evidence={ECO:0000305} | Sequence=CAB78828.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 2 genes: At4g18257 and At4g18260.; Evidence={ECO:0000305}	internal_difference_prefix277_suffix0_len284vs545	AT4G18260.1.TAIR10	284
Athaliana	AT4G36780.TAIR10	AT4G36780	swissprot_caution_frameshift	Q94A43	BEH2_ARATH	1	Sequence=AEE86700.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=CAB16821.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=CAB80344.1; Type=Frameshift; Evidence={ECO:0000305}	internal_difference_prefix211_suffix0_len318vs265	AT4G36780.1.TAIR10	318
Athaliana	AT4G38590.TAIR10	AT4G38590	swissprot_caution_erroneous_gene_model_prediction	Q9SCU8	BGA14_ARATH	2	Sequence=CAB80523.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix1_suffix0_len887vs988	AT4G38590.1.TAIR10	887
Athaliana	AT1G45191.TAIR10	AT1G45191	swissprot_caution_erroneous_gene_model_prediction	Q3ECW8	BGL01_ARATH	3	Sequence=AEE32093.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AEE32094.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix70_suffix447_len517vs529	AT1G45191.1.TAIR10	517
Athaliana	AT1G60260.TAIR10	AT1G60260	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_erroneous_termination	Q8RXN9	BGL05_ARATH	5	Sequence=AAC24061.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AAC24061.1; Type=Erroneous termination; Note=Truncated C-terminus.; Evidence={ECO:0000305}	internal_difference_prefix306_suffix172_len500vs478	AT1G60260.1.TAIR10	500
Athaliana	AT5G57150.TAIR10	AT5G57150	swissprot_caution_erroneous_gene_model_prediction	Q2HIV9	BH035_ARATH	2	Sequence=BAA97365.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix214_suffix0_len248vs264	AT5G57150.4.TAIR10	248
Athaliana	AT1G31050.TAIR10	AT1G31050	swissprot_caution_erroneous_gene_model_prediction	Q9FYJ6	BH111_ARATH	2	Sequence=AEE31309.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 2 genes: At1g31050 and At1g31060.; Evidence={ECO:0000305}	reference_longer_by_115aa	AT1G31050.1.TAIR10	319
Athaliana	AT4G05170.TAIR10	AT4G05170	swissprot_caution_erroneous_gene_model_prediction	Q9M0X8	BH114_ARATH	2	Sequence=CAB81059.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	reference_shorter_by_60aa	AT4G05170.1.TAIR10	298
Athaliana	AT4G38070.TAIR10	AT4G38070	swissprot_caution_erroneous_gene_model_prediction	P0CB25	BH131_ARATH	2	Sequence=CAB37547.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 3 genes: At4g38062, At4g38065 and At4g38070.; Evidence={ECO:0000305} | Sequence=CAB80472.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 3 genes: At4g38062, At4g38065 and At4g38070.; Evidence={ECO:0000305}	reference_longer_by_1257aa	AT4G38070.1.TAIR10	256
Athaliana	AT3G43300.TAIR10	AT3G43300	swissprot_caution_erroneous_gene_model_prediction	F4IXW2	BIG5_ARATH	1	Sequence=AEE77785.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AEE77786.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB89051.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix429_suffix1310_len1739vs1758	AT3G43300.1.TAIR10	1739
Athaliana	AT5G11400.TAIR10	AT5G11400	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_frameshift	Q9LFL7	BKN1_ARATH	2	Sequence=ABE66152.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=AED91673.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AED91673.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=CAB96675.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB96675.1; Type=Frameshift; Evidence={ECO:0000305}	internal_difference_prefix27_suffix0_len331vs206	AT5G11400.1.TAIR10	331
Athaliana	AT1G68120.TAIR10	AT1G68120	swissprot_caution_erroneous_initiation	Q9C9X6	BPC3_ARATH	1	Sequence=AAY34178.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305}	reference_longer_by_1aa	AT1G68120.1.TAIR10	269
Athaliana	AT3G57180.TAIR10	AT3G57180	swissprot_caution_erroneous_gene_model_prediction	Q8W4I6	BPG2_ARATH	1	Sequence=CAB68124.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	same_length_432_mismatches	AT3G57180.1.TAIR10	660
Athaliana	AT2G30750.TAIR10	AT2G30750	swissprot_caution_erroneous_initiation	O49340	C71AC_ARATH	1	Sequence=AAM19850.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305} | Sequence=AAN46800.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305}	reference_longer_by_6aa	AT2G30750.1.TAIR10	497
Athaliana	AT4G20240.TAIR10	AT4G20240	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_frameshift	O65438	C71AR_ARATH	3	Sequence=AEE84289.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AEE84289.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=CAA18249.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 2 genes: At4g20235 and At4g20240.; Evidence={ECO:0000305} | Sequence=CAA18249.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=CAB79024.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 2 genes: At4g20235 and At4g20240.; Evidence={ECO:0000305} | Sequence=CAB79024.1; Type=Frameshift; Evidence={ECO:0000305}	internal_difference_prefix415_suffix1_len499vs451	AT4G20240.1.TAIR10	499
Athaliana	AT4G20235.TAIR10	AT4G20235	swissprot_caution_erroneous_gene_model_prediction	P58047	C71AS_ARATH	3	Sequence=AEE84288.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAA18249.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 2 genes: At4g20235 and At4g20240.; Evidence={ECO:0000305} | Sequence=CAB79024.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 2 genes: At4g20235 and At4g20240.; Evidence={ECO:0000305}	internal_difference_prefix160_suffix0_len503vs340	AT4G20235.1.TAIR10	503
Athaliana	AT5G35715.TAIR10	AT5G35715	swissprot_caution_erroneous_initiation;swissprot_caution_frameshift	P58048	C71B8_ARATH	3	Sequence=AB011485; Type=Frameshift; Evidence={ECO:0000305} | Sequence=AED94008.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305} | Sequence=AED94008.1; Type=Frameshift; Evidence={ECO:0000305}	reference_shorter_by_64aa	AT5G35715.1.TAIR10	506
Athaliana	AT3G44250.TAIR10	AT3G44250	swissprot_caution_erroneous_gene_model_prediction	Q9LXM3	C71BZ_ARATH	2	Sequence=AEE77881.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=CAB88993.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix197_suffix299_len500vs499	AT3G44250.1.TAIR10	500
