dataset	run	species	genotype_stratum	instrument	data_type	expected_files	expected_reads	source_checksum	source_checksum_authority	local_fa_md5	role	basis	note
ont/Zmays_roottip_PRJNA822071	SRR18571905	Zmays	reference	MinION	RNA-Seq	1	4812931	b53c33ed0b7fcc39094935dade42660d	ENA_fastq_md5	cc5422a61b5b89aaa347eb1f716705c3	b1_validation_only	A14: validation-only long reads	B73 root tip
ont/Zmays_roottip_PRJNA822071	SRR18571906	Zmays	reference	MinION	RNA-Seq	1	4552299	da293b10e5684b8c3814d4bd2dd88b2a	ENA_fastq_md5	e0989547b3e3966302b2b062d7b9b2d3	b1_validation_only	A14: validation-only long reads	B73 root tip
ont/Zmays_roottip_PRJNA822071	SRR18571907	Zmays	reference	MinION	RNA-Seq	1	4298610	2d18d05a811fc858930e9fc0101cf1de	ENA_fastq_md5	b28be8cad2bdac9729d5bc226124fdca	b1_validation_only	A14: validation-only long reads	B73 root tip
ont/Zmays_roottip_PRJNA822071	SRR18571911	Zmays	reference	MinION	RNA-Seq	1	5800487	ba7c3f85a0812b4e659cc7c679c07f78	ENA_fastq_md5	177ea5a87067baaa107f97916a2b52cf	b1_validation_only	A14: validation-only long reads	B73 root tip
ont/Zmays_roottip_PRJNA822071	SRR18571914	Zmays	reference	MinION	RNA-Seq	1	5594616	8343bfa40512d4e1b68f3d96dc12fcf2	ENA_fastq_md5	d2e3f3ccdcc15cac16dbb0801917f899	b1_validation_only	A14: validation-only long reads	B73 root tip
ont/Zmays_roottip_PRJNA822071	SRR18571915	Zmays	reference	MinION	RNA-Seq	1	6541618	f67e0f33123071120e6dda467ece2bf1	ENA_fastq_md5	20c9c639895620824c2a8a9ea301198b	b1_validation_only	A14: validation-only long reads	B73 root tip
pacbio/Zmays_B73_ccs_PRJNA1470126	SRR38818769	Zmays	reference	Sequel II	RNA-Seq	1	144795	cc90b1c36570d0c43da95c8e963df6e7	ENA_fastq_md5	e79e0d7efeeef6d69a8ec7cdf3776206	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73
pacbio/Zmays_B73_ccs_PRJNA1470126	SRR38818770	Zmays	reference	Sequel II	RNA-Seq	1	1749142	f9dc27a9b7a63a19f22b997bdff5adda	ENA_fastq_md5	66c96b1bb0e4819f686b289fbb565833	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73
pacbio/Zmays_B73_ccs_PRJNA1470126	SRR38818771	Zmays	reference	Sequel II	RNA-Seq	1	366084	9b174e5a9d7e4fef9143c77905053bcb	ENA_fastq_md5	a8802fa4ad39f92074ae8206fba32983	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73
pacbio/Zmays_kinnex_hybrid_PRJNA1290227	SRR34503567	Zmays	hybrid_pooled	unknown	PacBio	1			none	8a310e5cb7a69afd7cf0eb4394656404	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73 x Mo17 hybrid; A7-P pooled stratum
pacbio/Zmays_kinnex_hybrid_PRJNA1290227	SRR34503568	Zmays	hybrid_pooled	unknown	PacBio	1			none	385c138ae33ba591d4400a045677ba97	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73 x Mo17 hybrid; A7-P pooled stratum
pacbio/Zmays_kinnex_hybrid_PRJNA1290227	SRR34503569	Zmays	hybrid_pooled	unknown	PacBio	1			none	ddc69bbb05122b29c4d40175e115c888	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73 x Mo17 hybrid; A7-P pooled stratum
pacbio/Zmays_kinnex_hybrid_PRJNA1290227	SRR34503570	Zmays	hybrid_pooled	unknown	PacBio	1			none	d60613208413129abd8c44433a00f201	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73 x Mo17 hybrid; A7-P pooled stratum
pacbio/Zmays_wang2018_PRJEB22122	ERR2093901	Zmays	reference	PacBio RS II	FL-cDNA	1	87179	e8dd09a59b844e2468e3024570844ae1	ENA_fastq_md5	0b03464da756da37b20dcaeed7d6375a	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73
pacbio/Zmays_wang2018_PRJEB22122	ERR2093902	Zmays	reference	PacBio RS II	FL-cDNA	1	138021	ffc7b82a333994b262ae1d91f18f4caa	ENA_fastq_md5	6037f1171fbc53b161fcdc72ee852d6a	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73
pacbio/Zmays_wang2018_PRJEB22122	ERR2093903	Zmays	reference	PacBio RS II	FL-cDNA	1	73990	b2a5e4077c40102f166f8c6563a893a3	ENA_fastq_md5	8dd8c4646ed6e2073d2b05e3edf3155e	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73
pacbio/Zmays_wang2018_PRJEB22122	ERR2093904	Zmays	reference	PacBio RS II	FL-cDNA	1	77825	1d23dec0c18b66b0fb1127a60f8418c7	ENA_fastq_md5	f45067dca0cde6a504b8423daf94ebc8	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73
pacbio/Zmays_wang2018_PRJEB22122	ERR2093905	Zmays	reference	PacBio RS II	FL-cDNA	1	95430	5742089d23d2402090b6d8e65107d48c	ENA_fastq_md5	6cbef846adfdc13a8840626791781199	b1_validation_only	A14: test-species validation accepts any PacBio generation	B73
pacbio/Zmays_wang2020_zenodo2611319	F1maize.FINAL.gff	Zmays	hybrid_pooled	Sequel	reference_gff	1		8c3816625c69e9da526616cc0170e8f1	local_only	8c3816625c69e9da526616cc0170e8f1	b1_validation_only	A14: test-species validation accepts any PacBio generation	all-genotype FLNC; B73-only selection required by §3.1 before scoring
pacbio/Zmays_wang2020_zenodo2611319	F1maize.demux_FL_count.txt	Zmays	hybrid_pooled	Sequel	demultiplex_counts	1		b894b7e18834525ae7e5e6fe7d9c59b8	local_only	b894b7e18834525ae7e5e6fe7d9c59b8	b1_validation_only	A14: test-species validation accepts any PacBio generation	all-genotype FLNC; B73-only selection required by §3.1 before scoring
pacbio/Zmays_wang2020_zenodo2611319	F1maize.flnc.fa.gz	Zmays	hybrid_pooled	Sequel	FLNC	1		1c4699c98700a852491c2ac3abd99764	Zenodo_published	1c4699c98700a852491c2ac3abd99764	b1_validation_only	A14: test-species validation accepts any PacBio generation	all-genotype FLNC; B73-only selection required by §3.1 before scoring
ont/Athaliana_cui2020_PRJNA594286	SRR10611193	Athaliana	reference	PromethION	RNA-Seq	1	8258511	b92be0018f35b9cdce78276404380fc5	ENA_fastq_md5	28eb9e29599fd2393b51a0c0a66651dd	c2_training_eligible	A18.3: fetched by the validation driver but training-eligible; excluded from the A. thaliana B1 replication	Col-0 rosette
ont/Athaliana_cui2020_PRJNA594286	SRR10611194	Athaliana	reference	PromethION	RNA-Seq	1	7849574	5073807e46282d01eff4978e21943ca1	ENA_fastq_md5	eccc005e991cd60d1d0c7c075c48f1e7	c2_training_eligible	A18.3: fetched by the validation driver but training-eligible; excluded from the A. thaliana B1 replication	Col-0 rosette
ont/Athaliana_cui2020_PRJNA594286	SRR10611195	Athaliana	reference	PromethION	RNA-Seq	1	7025983	fd8ed6382a50e847a1160a2be6c8a28b	ENA_fastq_md5	49df42080e528a41c76440b85974190f	c2_training_eligible	A18.3: fetched by the validation driver but training-eligible; excluded from the A. thaliana B1 replication	Col-0 rosette
training/ont/Athaliana/buffer_control_PRJNA1393863	SRR36603452	Athaliana	unknown	PromethION	RNA-Seq	1	2619607	532ef9185570f5d5c03a907ed375a13c	ENA_fastq_md5	b78aaa6d45ad6c425e0f404541667bcd	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/ck_control_PRJNA796315	SRR17556086	Athaliana	unknown	MinION	RNA-Seq	1	620351	f8f9733550bc2e35275686a613bea67a	ENA_fastq_md5	17ac7aa795740e03e811ab6375f44732	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/ck_control_PRJNA796315	SRR17556087	Athaliana	unknown	MinION	RNA-Seq	1	456030	cc6792c31271f83d7efcb5e4762ddd1e	ENA_fastq_md5	013129c371be2252a8295b100eb55832	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/ck_control_PRJNA796315	SRR17556088	Athaliana	unknown	MinION	RNA-Seq	1	511807	3040d76bfd8cde9c435d33f0ebb99b38	ENA_fastq_md5	3cb242ae6f051aafe43b64358ec7c5d3	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/ck_control_PRJNA796315	SRR17556092	Athaliana	unknown	MinION	RNA-Seq	1	451850	9a5ba25a6bffc945f4237097f77807d2	ENA_fastq_md5	3e290cdc93804ba03c55aa515969d2a9	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/ck_control_PRJNA796315	SRR17556095	Athaliana	unknown	MinION	RNA-Seq	1	583125	821148885af255d056aa687c84efcd71	ENA_fastq_md5	d3b195befe1417bbbbfed1e4832e523f	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/ck_control_PRJNA796315	SRR17556096	Athaliana	unknown	MinION	RNA-Seq	1	652710	3853a3f13f8048035d166c902cfc4349	ENA_fastq_md5	2e061645642c35f2d05d78fd6a7bfba1	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/col0_DRP009401	DRR424731	Athaliana	reference	MinION	RNA-Seq	1	10288076	4904466b7293d95e4296299d8af4dfa8	ENA_fastq_md5	a7b35c994f447050a7423b026f064dcc	c2_training_eligible	A14: training-species ONT is training evidence	Col-0 subset of PRJDB14952; C24 and F1 runs deliberately not taken
training/ont/Athaliana/col0_DRP009401	DRR424732	Athaliana	reference	MinION	RNA-Seq	1	12900000	335aa523e47b22433405b14c26f7ed22	ENA_fastq_md5	5f220eef350e354d86cc020716a757dc	c2_training_eligible	A14: training-species ONT is training evidence	Col-0 subset of PRJDB14952; C24 and F1 runs deliberately not taken
training/ont/Athaliana/col0_DRP009401	DRR424733	Athaliana	reference	MinION	RNA-Seq	1	7018276	d536f879c8533d085b5f717a77d1c7d0	ENA_fastq_md5	8434f4e4e62c2477d7ca20d70730c029	c2_training_eligible	A14: training-species ONT is training evidence	Col-0 subset of PRJDB14952; C24 and F1 runs deliberately not taken
training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807190	Athaliana	unknown	GridION	RNA-Seq	1	5201778	cd9e0dbfc21998f8dff31273541086ef	ENA_fastq_md5	116bd2de83a6c69db3ba683b23baf6d6	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807191	Athaliana	unknown	GridION	RNA-Seq	1	5597930	d4d02b64395cfbd7c055ca7e2406128f	ENA_fastq_md5	399ca5cbd6f71562b8b6d400c778f95a	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807192	Athaliana	unknown	GridION	RNA-Seq	1	5025632	b52b4f9c2052f3b534fa6e9437f01e2a	ENA_fastq_md5	2188261dd2c17046a0918bbe0bf74001	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807196	Athaliana	unknown	GridION	RNA-Seq	1	4522054	945b677283e2f4f8cad8a1807e3453dc	ENA_fastq_md5	7d7045383e108f8250826ab1015a2e1f	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807197	Athaliana	unknown	GridION	RNA-Seq	1	4867715	5a94f8df387992ef3d8287ce1ce9e595	ENA_fastq_md5	509c473efcaaa4275cb7021b8a188e82	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/col0_nitrogen_PRJDB38182	DRR807198	Athaliana	unknown	GridION	RNA-Seq	1	4625323	54b9389c61355b1f28e1d09f72021e82	ENA_fastq_md5	cd2c29ecd10e457d02f2b69ad3263983	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/col0_stigma_PRJNA874115	SRR21232856	Athaliana	unknown	MinION	RNA-Seq	1	1682096	fca9928fd11d0d83d37697c06aec0a1c	ENA_fastq_md5	72915314f5f6ff8998acc8157cf11061	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/col0_stigma_PRJNA874115	SRR21232866	Athaliana	unknown	MinION	RNA-Seq	1	1896749	934aa46930b72b3437b8aee2b235c307	ENA_fastq_md5	ae80f882c3e6ce9fc9ae61bcc4e4610b	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/col0_stigma_PRJNA874115	SRR21232867	Athaliana	unknown	MinION	RNA-Seq	1	1886302	3fdded616e9ead6b4e64c785cee9ce46	ENA_fastq_md5	52c525ff29de3eb7778afe7f18043c7a	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/inflorescence_PRJNA596358	SRR10736515	Athaliana	unknown	MinION	FL-cDNA	1	7575919	84a982bd8adc48b74edc8f5dd83cae05	ENA_fastq_md5	f68bb49f08f3a73faabf19eeb7c8e9d9	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028259	Athaliana	unknown	MinION	RNA-Seq	1	1542334	8d2815898ca05018ea70fc9c06dfa674	ENA_fastq_md5	6313d0dd6d44359c70450465fc847846	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028260	Athaliana	unknown	MinION	RNA-Seq	1	1531449	2402b8455a3a4d688168e07f7f5d412e	ENA_fastq_md5	144842067e9f2ec1ceae0a459b49c652	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028261	Athaliana	unknown	MinION	RNA-Seq	1	1698681	7bd53691e3c0baa59c57737c4f1733e0	ENA_fastq_md5	45443b43d66a91149e921d98ed89a22e	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028266	Athaliana	unknown	MinION	RNA-Seq	1	1425181	da21c4e76cf353124c9d2e64703dccbc	ENA_fastq_md5	3ff10dc6ea8a67ef457919d2ff58435b	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028277	Athaliana	unknown	MinION	RNA-Seq	1	1484997	36f9a885b9cc2293dc1fc52d2136ee1d	ENA_fastq_md5	bf56db5b727872cf4c9aa14c5114ed54	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/lncrna_survey_PRJNA765684	SRR16028278	Athaliana	unknown	MinION	RNA-Seq	1	1296134	009bd71c4426de245a6298bd5a9549f9	ENA_fastq_md5	ea933377009fba087280c874e3b019bc	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505795	Athaliana	unknown	PromethION	RNA-Seq	1	3629152	8d5a7dcf9be36b486dc10194d740fe34	ENA_fastq_md5	1e1b2b3995a4803d2f01dfc1b5e83dc3	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505796	Athaliana	unknown	PromethION	RNA-Seq	1	3797871	8372ba125a1a8268bf0e3d6c54595819	ENA_fastq_md5	1dc3753836fb2604d3428e2614a9af5b	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505797	Athaliana	unknown	PromethION	RNA-Seq	1	3738618	9dda064272e3553b63637c0ea71a4bea	ENA_fastq_md5	2d1ee70f689dac6b42d7b096febbe20d	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505798	Athaliana	unknown	PromethION	RNA-Seq	1	4033880	4f871fd04f4395ec4361d1809439853a	ENA_fastq_md5	c1c67a68ce6e1c6bfe55ab2702d4ef1b	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505799	Athaliana	unknown	PromethION	RNA-Seq	1	4343469	22b015bd4455a1a87ecadb1c92ec9fdf	ENA_fastq_md5	7a6308cddf6dd382e77e104037cbaea1	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/seed_flcdna_PRJNA1155260	SRR30505800	Athaliana	unknown	PromethION	RNA-Seq	1	4257086	c881749fcbf2ad7e75d7bc73fefde854	ENA_fastq_md5	91c67523607561a0c01542e101a77a0e	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Athaliana/wt_only_PRJNA705300	SRR13799551	Athaliana	unknown	MinION	RNA-Seq	1	811471	b9bf2b4bea9d13717115332ca5b21c7a	ENA_fastq_md5	88e6312aa8049a622e262cad79517141	c2_training_eligible	A14: training-species ONT is training evidence	not stated
training/ont/Gmax/scn_roots_PRJNA803218	SRR17876321	Gmax	non_reference	PromethION	RNA-Seq	1	5982178	7392da56f37369c9c733c09ad4411efd	ENA_fastq_md5	70e781e78e46b1bf71261acb97f708c4	c2_training_eligible	A14: training-species ONT is training evidence	genotype 09-138
training/ont/Gmax/scn_roots_PRJNA803218	SRR17876322	Gmax	non_reference	PromethION	RNA-Seq	1	5531576	b6862895b1832909a5769ef704843903	ENA_fastq_md5	99ca9ec15f8bb86c2595ab202d5756ec	c2_training_eligible	A14: training-species ONT is training evidence	genotype 09-138
training/ont/Gmax/scn_roots_PRJNA803218	SRR17876323	Gmax	non_reference	PromethION	RNA-Seq	1	5463325	28fc85ffb486cf5dfc520dd2990cd7ae	ENA_fastq_md5	5ef1964d47a6f7f19030e4396b152029	c2_training_eligible	A14: training-species ONT is training evidence	genotype 09-138
training/ont/Gmax/scn_roots_PRJNA803218	SRR17876324	Gmax	non_reference	PromethION	RNA-Seq	1	5746202	bc3cfb422c93d9a20083d8252db6c8fc	ENA_fastq_md5	1e1073ab8207920967cb80ce691aa7be	c2_training_eligible	A14: training-species ONT is training evidence	genotype 09-138
training/ont/Gmax/scn_roots_PRJNA803218	SRR17876325	Gmax	non_reference	PromethION	RNA-Seq	1	5658904	8a99fde45692d3690dc9dd01cf631f7f	ENA_fastq_md5	1decdbba71cfdedb284f7d957f0bd37d	c2_training_eligible	A14: training-species ONT is training evidence	genotype 09-138
training/ont/Gmax/scn_roots_PRJNA803218	SRR17876326	Gmax	non_reference	PromethION	RNA-Seq	1	4744391	b4203745b6131e46e945173a1561df48	ENA_fastq_md5	f3a5ad9018ad82d3048303fa9ba23e3b	c2_training_eligible	A14: training-species ONT is training evidence	genotype 09-138
training/ont/Gmax/scn_roots_PRJNA803218	SRR17876327	Gmax	non_reference	PromethION	RNA-Seq	1	5119667	95501a5b95a0096ff2316d46854161ee	ENA_fastq_md5	363c0c31741cf9a03f120c93b975f58b	c2_training_eligible	A14: training-species ONT is training evidence	genotype 09-138
training/ont/Gmax/scn_roots_PRJNA803218	SRR17876328	Gmax	non_reference	PromethION	RNA-Seq	1	4792295	1e3c8bec404acb3a62014535df86de9d	ENA_fastq_md5	84e6f08f8016cb1e1abd7dfc2fe4c76b	c2_training_eligible	A14: training-species ONT is training evidence	genotype 09-138
training/ont/Gmax/scn_roots_PRJNA803218	SRR17876329	Gmax	non_reference	PromethION	RNA-Seq	1	5250615	8f34751cf1cd0f6051dd6326459a87ea	ENA_fastq_md5	7ee11ef2e7f6677ead7ef11c6932f5de	c2_training_eligible	A14: training-species ONT is training evidence	genotype 09-138
training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327364	Gmax	reference	MinION	FL-cDNA	1	2740273	284a5ed547cf5c897d86845e492b2ec6	ENA_fastq_md5	a40fcb83ad8f099a8d134caf0cbce5ac	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327365	Gmax	reference	MinION	FL-cDNA	1	2967881	d2e6dc6dd7b935ae34f0dd5284981df6	ENA_fastq_md5	b57f93810a4dad73255e3fec54c3ed2b	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327382	Gmax	reference	MinION	FL-cDNA	1	4857296	c97f8b7aad803f827696528bca3b708e	ENA_fastq_md5	1c32a2d5db85c9a39e4386077d079749	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327383	Gmax	reference	MinION	FL-cDNA	1	4362393	349e315b453b316aea4ec8250d6a7a32	ENA_fastq_md5	6ee5d4b2219a079f3151cf54a403a854	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327384	Gmax	reference	MinION	FL-cDNA	1	5067166	46b5c0ce8164035efd0d5e88f0b42757	ENA_fastq_md5	574c517ec895fc930c376284200b3c97	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327385	Gmax	reference	MinION	FL-cDNA	1	3056515	ec264c064819c8b447d567b24ac81087	ENA_fastq_md5	4469e2f61cd76e146fb6c32cc884a1a9	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327386	Gmax	reference	MinION	FL-cDNA	1	3010075	3fb8760beaeb8021ef8df9e35ff7bfe6	ENA_fastq_md5	6714a0d10ab3277712041a10c2641439	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327387	Gmax	reference	MinION	FL-cDNA	1	2861889	657a2ca27739d1e7a1460652c89d3361	ENA_fastq_md5	22d56b078ec38f6bf0987fe353bc31d1	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244032	Gmax	reference	MinION	FL-cDNA	1	232616	280b2707027712a824ef1226521b6084	ENA_fastq_md5	fa113c8b2211058e75d8c522bf748f9e	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244033	Gmax	reference	MinION	FL-cDNA	1	450483	220d55917111cb55181ea4f15d785c6d	ENA_fastq_md5	0ec31ac1636e61ef4848a16adbd97997	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244034	Gmax	reference	MinION	FL-cDNA	1	239340	fefb313db693688d1cecf983143c6a5c	ENA_fastq_md5	d062e1590d2f3b25bfda17a9d9a0ec07	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244035	Gmax	reference	MinION	FL-cDNA	1	529341	7f99c2d9fef08e8be1ee0638891e241b	ENA_fastq_md5	003f7e12b85c812cf12beaa12ff17472	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244036	Gmax	reference	MinION	FL-cDNA	1	358323	afcff4e0bc5e343380777658e7f5fbbb	ENA_fastq_md5	c1d2a4d9d55919623c8469faacc79c52	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244037	Gmax	reference	MinION	FL-cDNA	1	456974	2133f83ff6c5b962ab3665bb81237c71	ENA_fastq_md5	8f8a237867c51ce0569a8728559e8dfb	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244038	Gmax	reference	MinION	FL-cDNA	1	298753	62c6b2c494e399673de6428051407708	ENA_fastq_md5	fceb3c210770ef2dd4d582f92397ed3e	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244039	Gmax	reference	MinION	FL-cDNA	1	466491	acbf8c1e04763d5a237b9921cc817ba3	ENA_fastq_md5	163e1e40a5fd2380ab9a6b700220cdce	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244040	Gmax	reference	MinION	FL-cDNA	1	264650	e7200521eb5526ab248436f8e18c2b34	ENA_fastq_md5	1524174b735c7363421d82b3ea7f85b7	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244041	Gmax	reference	MinION	FL-cDNA	1	282365	558d03f58ca9ce9a858207d6e23b6eec	ENA_fastq_md5	e1ab0f1f086dece071daf3ebbd843ef4	c2_training_eligible	A14: training-species ONT is training evidence	Williams 82
